subjectID	stimName	runtrial	subjectAnswerArousal	onsettime_Aro	RT_Arousal	StimNum	Rank
subject_048	khenin_dov.jpg.jpg	1	8	1.742309e-02	5.681918e+00	8.000000	30	
subject_048	shaked_ayelet.jpg.jpg	2	6	7.250909e+00	4.936311e+00	3.000000	3	
subject_048	katzav_moshe.jpg.jpg	3	9	1.373438e+01	5.524675e+00	6.000000	28	
subject_048	tibi_ahmed.jpg.jpg	4	5	2.081786e+01	3.873067e+00	7.000000	29	
subject_048	zuabi_hanin.jpg.jpg	5	7	2.623464e+01	5.448103e+00	5.000000	27	
subject_048	hazan_oren.jpg.jpg	6	8	3.323479e+01	4.031812e+00	1.000000	1	
subject_048	regev_miri.jpg.jpg	7	5	3.881825e+01	4.192264e+00	2.000000	2	
subject_048	lapid_yair.jpg.jpg	8	3	4.456834e+01	4.786022e+00	4.000000	4	
