Stim Name1	Stim Name2	StimNum1	StimNum2
zandberg_tamar	katz_yisrael	2	28
yacimovich_shelly	Smotrich_Bezalel	3	29
michaeli_meirav	katz_yisrael	1	28
zandberg_tamar	hazan_oren	2	30
yacimovich_shelly	beneliezer_binyamin	3	27
michaeli_meirav	beneliezer_binyamin	1	27
yitzhak_rabin	beneliezer_binyamin	4	27
zandberg_tamar	katz_yisrael	2	28
yacimovich_shelly	Smotrich_Bezalel	3	29
michaeli_meirav	beneliezer_binyamin	1	27
yitzhak_rabin	hazan_oren	4	30
michaeli_meirav	katz_yisrael	1	28
yitzhak_rabin	hazan_oren	4	30
michaeli_meirav	beneliezer_binyamin	1	27
yitzhak_rabin	Smotrich_Bezalel	4	29
yitzhak_rabin	beneliezer_binyamin	4	27
michaeli_meirav	hazan_oren	1	30
yitzhak_rabin	katz_yisrael	4	28
yacimovich_shelly	Smotrich_Bezalel	3	29
michaeli_meirav	Smotrich_Bezalel	1	29
yacimovich_shelly	beneliezer_binyamin	3	27
zandberg_tamar	katz_yisrael	2	28
yacimovich_shelly	katz_yisrael	3	28
zandberg_tamar	beneliezer_binyamin	2	27
zandberg_tamar	Smotrich_Bezalel	2	29
yitzhak_rabin	Smotrich_Bezalel	4	29
michaeli_meirav	Smotrich_Bezalel	1	29
yitzhak_rabin	Smotrich_Bezalel	4	29
yitzhak_rabin	hazan_oren	4	30
michaeli_meirav	beneliezer_binyamin	1	27
zandberg_tamar	Smotrich_Bezalel	2	29
yitzhak_rabin	katz_yisrael	4	28
yacimovich_shelly	katz_yisrael	3	28
yitzhak_rabin	hazan_oren	4	30
michaeli_meirav	Smotrich_Bezalel	1	29
zandberg_tamar	Smotrich_Bezalel	2	29
michaeli_meirav	hazan_oren	1	30
yitzhak_rabin	katz_yisrael	4	28
michaeli_meirav	hazan_oren	1	30
michaeli_meirav	Smotrich_Bezalel	1	29
zandberg_tamar	beneliezer_binyamin	2	27
yacimovich_shelly	katz_yisrael	3	28
yacimovich_shelly	beneliezer_binyamin	3	27
yacimovich_shelly	hazan_oren	3	30
zandberg_tamar	hazan_oren	2	30
zandberg_tamar	beneliezer_binyamin	2	27
yitzhak_rabin	beneliezer_binyamin	4	27
yacimovich_shelly	Smotrich_Bezalel	3	29
michaeli_meirav	hazan_oren	1	30
yitzhak_rabin	beneliezer_binyamin	4	27
yitzhak_rabin	Smotrich_Bezalel	4	29
yacimovich_shelly	katz_yisrael	3	28
yacimovich_shelly	hazan_oren	3	30
michaeli_meirav	katz_yisrael	1	28
zandberg_tamar	hazan_oren	2	30
zandberg_tamar	Smotrich_Bezalel	2	29
michaeli_meirav	katz_yisrael	1	28
zandberg_tamar	katz_yisrael	2	28
yacimovich_shelly	beneliezer_binyamin	3	27
zandberg_tamar	hazan_oren	2	30
yacimovich_shelly	hazan_oren	3	30
yitzhak_rabin	katz_yisrael	4	28
yacimovich_shelly	hazan_oren	3	30
zandberg_tamar	beneliezer_binyamin	2	27
