Stim Name1	Stim Name2	StimNum1	StimNum2
sharon_ariel.jpg	german_yael.jpg	2	28
yaalon_moshe.jpg	tibi_ahmed.jpg	3	29
shimon_peres.jpg	german_yael.jpg	1	28
sharon_ariel.jpg	katzav_moshe.jpg	2	30
yaalon_moshe.jpg	deri_arye.jpg	3	27
shimon_peres.jpg	deri_arye.jpg	1	27
yitzhak_rabin.jpg	deri_arye.jpg	4	27
sharon_ariel.jpg	german_yael.jpg	2	28
yaalon_moshe.jpg	tibi_ahmed.jpg	3	29
shimon_peres.jpg	deri_arye.jpg	1	27
yitzhak_rabin.jpg	katzav_moshe.jpg	4	30
shimon_peres.jpg	german_yael.jpg	1	28
yitzhak_rabin.jpg	katzav_moshe.jpg	4	30
shimon_peres.jpg	deri_arye.jpg	1	27
yitzhak_rabin.jpg	tibi_ahmed.jpg	4	29
yitzhak_rabin.jpg	deri_arye.jpg	4	27
shimon_peres.jpg	katzav_moshe.jpg	1	30
yitzhak_rabin.jpg	german_yael.jpg	4	28
yaalon_moshe.jpg	tibi_ahmed.jpg	3	29
shimon_peres.jpg	tibi_ahmed.jpg	1	29
yaalon_moshe.jpg	deri_arye.jpg	3	27
sharon_ariel.jpg	german_yael.jpg	2	28
yaalon_moshe.jpg	german_yael.jpg	3	28
sharon_ariel.jpg	deri_arye.jpg	2	27
sharon_ariel.jpg	tibi_ahmed.jpg	2	29
yitzhak_rabin.jpg	tibi_ahmed.jpg	4	29
shimon_peres.jpg	tibi_ahmed.jpg	1	29
yitzhak_rabin.jpg	tibi_ahmed.jpg	4	29
yitzhak_rabin.jpg	katzav_moshe.jpg	4	30
shimon_peres.jpg	deri_arye.jpg	1	27
sharon_ariel.jpg	tibi_ahmed.jpg	2	29
yitzhak_rabin.jpg	german_yael.jpg	4	28
yaalon_moshe.jpg	german_yael.jpg	3	28
yitzhak_rabin.jpg	katzav_moshe.jpg	4	30
shimon_peres.jpg	tibi_ahmed.jpg	1	29
sharon_ariel.jpg	tibi_ahmed.jpg	2	29
shimon_peres.jpg	katzav_moshe.jpg	1	30
yitzhak_rabin.jpg	german_yael.jpg	4	28
shimon_peres.jpg	katzav_moshe.jpg	1	30
shimon_peres.jpg	tibi_ahmed.jpg	1	29
sharon_ariel.jpg	deri_arye.jpg	2	27
yaalon_moshe.jpg	german_yael.jpg	3	28
yaalon_moshe.jpg	deri_arye.jpg	3	27
yaalon_moshe.jpg	katzav_moshe.jpg	3	30
sharon_ariel.jpg	katzav_moshe.jpg	2	30
sharon_ariel.jpg	deri_arye.jpg	2	27
yitzhak_rabin.jpg	deri_arye.jpg	4	27
yaalon_moshe.jpg	tibi_ahmed.jpg	3	29
shimon_peres.jpg	katzav_moshe.jpg	1	30
yitzhak_rabin.jpg	deri_arye.jpg	4	27
yitzhak_rabin.jpg	tibi_ahmed.jpg	4	29
yaalon_moshe.jpg	german_yael.jpg	3	28
yaalon_moshe.jpg	katzav_moshe.jpg	3	30
shimon_peres.jpg	german_yael.jpg	1	28
sharon_ariel.jpg	katzav_moshe.jpg	2	30
sharon_ariel.jpg	tibi_ahmed.jpg	2	29
shimon_peres.jpg	german_yael.jpg	1	28
sharon_ariel.jpg	german_yael.jpg	2	28
yaalon_moshe.jpg	deri_arye.jpg	3	27
sharon_ariel.jpg	katzav_moshe.jpg	2	30
yaalon_moshe.jpg	katzav_moshe.jpg	3	30
yitzhak_rabin.jpg	german_yael.jpg	4	28
yaalon_moshe.jpg	katzav_moshe.jpg	3	30
sharon_ariel.jpg	deri_arye.jpg	2	27
