subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_036	Smotrich_Bezalel.jpg.jpg	1	5	1.388793e-02	5	8.201772e+00	1.000000	
subject_036	yacimovich_shelly.jpg.jpg	2	5	9.764146e+00	5	3.659407e+00	38.000000	
subject_036	erdan_gilad.jpg.jpg	3	5	1.498095e+01	5	5.314459e+00	8.000000	
subject_036	akunis_ofir.jpg.jpg	4	5	2.184780e+01	5	2.527530e+00	2.000000	
subject_036	netanyahu.jpg.jpg	5	1	2.593125e+01	1	2.084010e+00	24.000000	
subject_036	michaeli_meirav.jpg.jpg	6	5	2.956468e+01	5	6.058419e+00	22.000000	
subject_036	shimon_peres.jpg.jpg	7	1	3.716488e+01	1	1.186158e+00	34.000000	
subject_036	steinitz_yuval.jpg.jpg	8	5	3.989829e+01	5	1.380702e+00	35.000000	
subject_036	livnat_limor.jpg.jpg	9	5	4.283170e+01	5	1.431222e+00	19.000000	
subject_036	cahlon_moshe.jpg.jpg	10	5	4.581515e+01	5	1.495716e+00	6.000000	
subject_036	regev_miri.jpg.jpg	11	5	4.886522e+01	5	1.517577e+00	29.000000	
subject_036	herzog_yitzhak.jpg.jpg	12	1	5.193195e+01	1	2.138772e+00	13.000000	
subject_036	yitzhak_rabin.jpg.jpg	13	2	5.561538e+01	2	3.063262e+00	39.000000	
subject_036	mofaz_shaul.jpg.jpg	14	1	6.023217e+01	1	3.958342e+00	23.000000	
subject_036	liberman_avigdor.jpg.jpg	15	1	6.574899e+01	1	9.934727e-01	18.000000	
subject_036	lapid_yair.jpg.jpg	16	1	6.829906e+01	1	8.433486e-01	17.000000	
subject_036	zandberg_tamar.jpg.jpg	17	4	7.069915e+01	4	3.987144e+00	40.000000	
subject_036	livnee_zipi.jpg.jpg	18	1	7.623260e+01	1	1.237630e+00	20.000000	
subject_036	benet_naftali.jpg.jpg	19	5	7.901601e+01	5	1.974154e+00	5.000000	
subject_036	peretz_amir.jpg.jpg	20	1	8.253277e+01	1	9.213403e-01	27.000000	
subject_036	olmert_ehud.jpg.jpg	21	1	8.499954e+01	1	1.494512e+00	26.000000	
subject_036	barak_ehud.jpg.jpg	22	1	8.804959e+01	1	7.484147e-01	3.000000	
subject_036	katz_yisrael.jpg.jpg	23	5	9.034966e+01	5	5.600189e+00	14.000000	
subject_036	galant_yoav.jpg.jpg	24	5	9.749984e+01	5	1.161957e+00	9.000000	
subject_036	beneliezer_binyamin.jpg.jpg	25	1	1.002166e+02	1	8.211669e-01	4.000000	
subject_036	deri_arye.jpg.jpg	26	1	1.025833e+02	1	1.750367e+00	7.000000	
subject_036	shafir_stav.jpg.jpg	27	5	1.058834e+02	5	1.274206e+00	31.000000	
subject_036	piron_shai.jpg.jpg	28	5	1.087001e+02	5	9.694855e-01	28.000000	
subject_036	german_yael.jpg.jpg	29	5	1.112169e+02	5	2.540632e+00	11.000000	
subject_036	khenin_dov.jpg.jpg	30	1	1.153003e+02	1	1.161095e+00	16.000000	
subject_036	shaked_ayelet.jpg.jpg	31	5	1.180170e+02	5	9.243033e-01	32.000000	
subject_036	yaalon_moshe.jpg.jpg	32	5	1.204838e+02	5	9.694995e-01	37.000000	
subject_036	galon_zahava.jpg.jpg	33	3	1.230005e+02	3	3.004689e+00	10.000000	
subject_036	odeh_aiman.jpg.jpg	34	1	1.275506e+02	1	1.214506e+00	25.000000	
subject_036	meir_golda.jpg.jpg	35	1	1.303174e+02	1	2.087691e+00	21.000000	
subject_036	rivlin_rubi.jpg.jpg	36	5	1.339508e+02	5	1.350200e+00	30.000000	
subject_036	zuabi_hanin.jpg.jpg	37	1	1.368509e+02	1	1.194066e+00	41.000000	
subject_036	katzav_moshe.jpg.jpg	38	5	1.396010e+02	5	1.219937e+00	15.000000	
subject_036	sharon_ariel.jpg.jpg	39	1	1.423677e+02	1	1.053139e+00	33.000000	
subject_036	hazan_oren.jpg.jpg	40	5	1.449678e+02	5	1.461029e+00	12.000000	
subject_036	tibi_ahmed.jpg.jpg	41	1	1.479845e+02	1	1.964200e+00	36.000000	
