subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_049	deri_arye.jpg	1	1	2.347204e-02	1	4.032322e+00	7.000000	
subject_049	livnee_zipi.jpg	2	1	5.606812e+00	1	1.272946e+00	20.000000	
subject_049	piron_shai.jpg	3	2	8.423554e+00	2	8.423971e+00	28.000000	
subject_049	herzog_yitzhak.jpg	4	1	1.839049e+01	1	2.224936e+00	13.000000	
subject_049	cahlon_moshe.jpg	5	1	2.217392e+01	1	8.894536e-01	6.000000	
subject_049	german_yael.jpg	6	3	2.460733e+01	3	4.135930e+00	11.000000	
subject_049	tibi_ahmed.jpg	7	1	3.029081e+01	1	9.244037e-01	36.000000	
subject_049	mofaz_shaul.jpg	8	1	3.275756e+01	1	1.657576e+00	23.000000	
subject_049	katz_yisrael.jpg	9	3	3.595762e+01	3	9.534910e-01	14.000000	
subject_049	shimon_peres.jpg	10	1	3.845769e+01	1	8.293800e-01	34.000000	
subject_049	sharon_ariel.jpg	11	1	4.084109e+01	1	2.213906e+00	33.000000	
subject_049	galant_yoav.jpg	12	3	4.460785e+01	3	3.039046e+00	9.000000	
subject_049	hazan_oren.jpg	13	1	4.919132e+01	1	9.514982e-01	12.000000	
subject_049	steinitz_yuval.jpg	14	2	5.169138e+01	2	3.243338e+00	35.000000	
subject_049	liberman_avigdor.jpg	15	1	5.649154e+01	1	1.259118e+00	18.000000	
subject_049	rivlin_rubi.jpg	16	1	5.930825e+01	1	8.743597e-01	30.000000	
subject_049	netanyahu.jpg	17	1	6.172498e+01	1	4.895857e-01	24.000000	
subject_049	odeh_aiman.jpg	18	1	6.375837e+01	1	9.921404e-01	25.000000	
subject_049	yacimovich_shelly.jpg	19	1	6.630844e+01	1	6.020374e-01	38.000000	
subject_049	galon_zahava.jpg	20	1	6.845850e+01	1	8.199324e-01	10.000000	
subject_049	erdan_gilad.jpg	21	1	7.082523e+01	1	9.411414e-01	8.000000	
subject_049	Smotrich_Bezalel.jpg	22	1	7.330863e+01	1	1.425679e+00	1.000000	
subject_049	akunis_ofir.jpg	23	3	7.629204e+01	3	1.794232e+00	2.000000	
subject_049	shaked_ayelet.jpg	24	1	7.964214e+01	1	7.640623e-01	32.000000	
subject_049	yitzhak_rabin.jpg	25	1	8.195891e+01	1	2.015201e+00	39.000000	
subject_049	barak_ehud.jpg	26	1	8.552563e+01	1	8.644426e-01	3.000000	
subject_049	katzav_moshe.jpg	27	1	8.794236e+01	1	2.103636e+00	15.000000	
subject_049	benet_naftali.jpg	28	1	9.159246e+01	1	5.734960e-01	5.000000	
subject_049	lapid_yair.jpg	29	1	9.370918e+01	1	6.007299e-01	17.000000	
subject_049	michaeli_meirav.jpg	30	1	9.585924e+01	1	8.426384e-01	22.000000	
subject_049	olmert_ehud.jpg	31	1	9.825930e+01	1	8.665030e-01	26.000000	
subject_049	shafir_stav.jpg	32	1	1.006760e+02	1	1.169730e+00	31.000000	
subject_049	zuabi_hanin.jpg	33	1	1.033928e+02	1	8.769541e-01	41.000000	
subject_049	khenin_dov.jpg	34	3	1.058262e+02	3	9.554684e-01	16.000000	
subject_049	regev_miri.jpg	35	1	1.083262e+02	1	1.903364e+00	29.000000	
subject_049	zandberg_tamar.jpg	36	3	1.117763e+02	3	1.493187e+00	40.000000	
subject_049	yaalon_moshe.jpg	37	1	1.148264e+02	1	1.699028e+00	37.000000	
subject_049	peretz_amir.jpg	38	1	1.180765e+02	1	6.728957e-01	27.000000	
subject_049	livnat_limor.jpg	39	3	1.202932e+02	3	4.216049e+00	19.000000	
subject_049	meir_golda.jpg	40	1	1.260601e+02	1	1.097199e+00	21.000000	
subject_049	beneliezer_binyamin.jpg	41	1	1.287101e+02	1	2.199087e+00	4.000000	
