subjectID	stimName	runtrial	subjectAnswerArousal	onsettime_Aro	RT_Arousal	StimNum	Rank
subject_064	shaked_ayelet.jpg	1	3	1.137287e-02	5.791846e+00	8.000000	30	
subject_064	shafir_stav.jpg	2	4	7.361616e+00	1.641549e+00	3.000000	3	
subject_064	german_yael.jpg	3	3	1.056172e+01	2.729381e+00	6.000000	28	
subject_064	tibi_ahmed.jpg	4	2	1.484522e+01	9.818577e-01	7.000000	29	
subject_064	olmert_ehud.jpg	5	1	1.737861e+01	1.568418e+00	5.000000	27	
subject_064	zandberg_tamar.jpg	6	3	2.049538e+01	1.363595e+00	1.000000	1	
subject_064	peretz_amir.jpg	7	3	2.341214e+01	1.118797e+00	2.000000	2	
subject_064	liberman_avigdor.jpg	8	4	2.607890e+01	1.243999e+00	4.000000	4	
