Stim Name1	Stim Name2	StimNum1	StimNum2
shaked_ayelet	galon_zahava	2	28
mofaz_shaul	olmert_ehud	3	29
Smotrich_Bezalel	galon_zahava	1	28
shaked_ayelet	zuabi_hanin	2	30
mofaz_shaul	livnee_zipi	3	27
Smotrich_Bezalel	livnee_zipi	1	27
benet_naftali	livnee_zipi	4	27
shaked_ayelet	galon_zahava	2	28
mofaz_shaul	olmert_ehud	3	29
Smotrich_Bezalel	livnee_zipi	1	27
benet_naftali	zuabi_hanin	4	30
Smotrich_Bezalel	galon_zahava	1	28
benet_naftali	zuabi_hanin	4	30
Smotrich_Bezalel	livnee_zipi	1	27
benet_naftali	olmert_ehud	4	29
benet_naftali	livnee_zipi	4	27
Smotrich_Bezalel	zuabi_hanin	1	30
benet_naftali	galon_zahava	4	28
mofaz_shaul	olmert_ehud	3	29
Smotrich_Bezalel	olmert_ehud	1	29
mofaz_shaul	livnee_zipi	3	27
shaked_ayelet	galon_zahava	2	28
mofaz_shaul	galon_zahava	3	28
shaked_ayelet	livnee_zipi	2	27
shaked_ayelet	olmert_ehud	2	29
benet_naftali	olmert_ehud	4	29
Smotrich_Bezalel	olmert_ehud	1	29
benet_naftali	olmert_ehud	4	29
benet_naftali	zuabi_hanin	4	30
Smotrich_Bezalel	livnee_zipi	1	27
shaked_ayelet	olmert_ehud	2	29
benet_naftali	galon_zahava	4	28
mofaz_shaul	galon_zahava	3	28
benet_naftali	zuabi_hanin	4	30
Smotrich_Bezalel	olmert_ehud	1	29
shaked_ayelet	olmert_ehud	2	29
Smotrich_Bezalel	zuabi_hanin	1	30
benet_naftali	galon_zahava	4	28
Smotrich_Bezalel	zuabi_hanin	1	30
Smotrich_Bezalel	olmert_ehud	1	29
shaked_ayelet	livnee_zipi	2	27
mofaz_shaul	galon_zahava	3	28
mofaz_shaul	livnee_zipi	3	27
mofaz_shaul	zuabi_hanin	3	30
shaked_ayelet	zuabi_hanin	2	30
shaked_ayelet	livnee_zipi	2	27
benet_naftali	livnee_zipi	4	27
mofaz_shaul	olmert_ehud	3	29
Smotrich_Bezalel	zuabi_hanin	1	30
benet_naftali	livnee_zipi	4	27
benet_naftali	olmert_ehud	4	29
mofaz_shaul	galon_zahava	3	28
mofaz_shaul	zuabi_hanin	3	30
Smotrich_Bezalel	galon_zahava	1	28
shaked_ayelet	zuabi_hanin	2	30
shaked_ayelet	olmert_ehud	2	29
Smotrich_Bezalel	galon_zahava	1	28
shaked_ayelet	galon_zahava	2	28
mofaz_shaul	livnee_zipi	3	27
shaked_ayelet	zuabi_hanin	2	30
mofaz_shaul	zuabi_hanin	3	30
benet_naftali	galon_zahava	4	28
mofaz_shaul	zuabi_hanin	3	30
shaked_ayelet	livnee_zipi	2	27
