subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_031	Arik_Einstein.jpg	95	3	4.04E+02	3	1.33E+00	7
subject_031	Jerry_Seinfeld.jpg	96	3	4.07E+02	3	1.98E+00	49
subject_031	Anne_hathaway.jpg	97	3	4.11E+02	3	1.53E+00	6
subject_031	Jim_Carrey.jpg	98	3	4.14E+02	3	2.20E+00	50
subject_031	Noa_Tishby.jpg	99	3	4.17E+02	3	1.01E+00	77
subject_031	Nicolas_Cage.jpg	100	3	4.20E+02	3	8.71E-01	74
subject_031	Johnny_Depp.jpg	101	3	4.22E+02	3	1.39E+00	51
subject_031	Yael_Sharoni.jpg	102	3	4.25E+02	3	7.61E-01	107
subject_031	Ryan_Gosling.jpg	103	3	4.28E+02	3	1.58E+00	90
subject_031	Yehuda_Levi.jpg	104	3	4.31E+02	3	8.71E-01	109
subject_031	Helen_Hunt.jpg	105	3	4.33E+02	3	9.50E-01	40
subject_031	Bruce_Willis.jpg	107	3	4.38E+02	3	1.13E+00	20
subject_031	Guy_Arieli.jpg	108	3	4.41E+02	3	1.01E+00	34
subject_031	David_Schwimmer.jpg	2	4	4.14E+00	4	3.00E+00	25
subject_031	Limor_Goldstein.jpg	5	4	1.72E+01	4	2.28E+00	62
subject_031	Tali_Sharon.jpg	9	4	3.04E+01	4	3.43E+00	99
subject_031	Shih_Labeouf.jpg	13	4	6.69E+01	4	2.08E+00	96
subject_031	Ofer_Shechter.jpg	17	4	9.19E+01	4	1.90E+01	78
subject_031	Natalie_Portman.jpg	19	4	1.17E+02	4	2.63E+00	73
subject_031	Michelle_Obama.jpg	20	4	1.22E+02	4	1.27E+00	67
subject_031	Linoy_Bar-Geffen.jpg	22	4	1.27E+02	4	1.49E+00	63
subject_031	Adam_Sandler.jpg	23	4	1.30E+02	4	1.25E+00	2
subject_031	Hugh_Grant.jpg	24	4	1.33E+02	4	1.36E+00	42
subject_031	Cameron_Diaz.jpg	25	4	1.36E+02	4	2.48E+00	21
subject_031	Russell_Crowe.jpg	26	4	1.40E+02	4	1.87E+00	89
subject_031	Miri_Bohadana.jpg	27	4	1.43E+02	4	1.84E+00	70
subject_031	Yael_Bar-Zohar.jpg	28	4	1.47E+02	4	2.84E+00	106
subject_031	Jay_Leno.jpg	29	4	1.51E+02	4	1.57E+00	46
subject_031	Asi_Cohen.jpg	34	4	1.68E+02	4	3.90E+00	10
subject_031	Ran_Danker.jpg	35	4	1.73E+02	4	1.88E+00	86
subject_031	Adi_Himelbloy.jpg	38	4	1.84E+02	4	2.31E+00	3
subject_031	Lior_Ashkenazi.jpg	43	4	2.03E+02	4	4.12E+00	64
subject_031	Justin_Timberlake.jpg	44	4	2.09E+02	4	6.71E+00	56
subject_031	Rihanna.jpg	45	4	2.17E+02	4	1.04E+01	87
subject_031	Vanna_White.jpg	46	4	2.29E+02	4	1.04E+00	103
subject_031	Bradd_Pitt.jpg	47	4	2.32E+02	4	7.39E-01	17
subject_031	Benedict_Cumberbatch.jpg	48	4	2.34E+02	4	1.02E+00	14
subject_031	Mikel_Luis.jpg	49	4	2.36E+02	4	8.89E-01	68
subject_031	Yona_Elian.jpg	50	4	2.39E+02	4	7.99E-01	110
subject_031	Keanu_Reeves.jpg	51	4	2.41E+02	4	6.49E-01	58
subject_031	Ninet_Tayeb.jpg	53	4	2.47E+02	4	8.62E-01	76
subject_031	Roni_Duani.jpg	62	4	2.74E+02	4	1.17E+00	88
subject_031	Demi_Moore.jpg	63	4	2.77E+02	4	1.23E+00	26
subject_031	Madonna.jpg	66	4	2.89E+02	4	1.84E+00	65
subject_031	Barak_Obama.jpg	68	4	2.96E+02	4	1.33E+00	12
subject_031	Sharon_Stone.jpg	71	4	3.09E+02	4	3.83E+00	95
subject_031	Ryan_Seacrest.jpg	72	4	3.14E+02	4	2.29E+00	91
subject_031	Shakira.jpg	74	4	3.21E+02	4	1.93E+00	94
subject_031	Drew_Barrymore.jpg	83	4	3.54E+02	4	7.33E+00	27
subject_031	George_Clooney.jpg	88	4	3.75E+02	4	1.59E+00	32
subject_031	Yael_Abecassis.jpg	6	5	2.10E+01	5	1.37E+00	105
subject_031	Dudu_Topaz.jpg	7	5	2.39E+01	5	1.51E+00	28
subject_031	Ola_Schor.jpg	30	5	1.54E+02	5	2.02E+00	79
subject_031	Hugh_Laurie.jpg	32	5	1.61E+02	5	1.60E+00	43
subject_031	Shlomo_Bar-Aba.jpg	58	5	2.62E+02	5	2.17E+00	97
subject_031	Tom_Hanks.jpg	65	5	2.86E+02	5	1.69E+00	102
