subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_050	Will_Smith.jpg	1	3	1.818401e-02	3	1.865441e+00	104.000000	
subject_050	Harrison_Ford.jpg	2	3	3.434926e+00	3	1.264631e+00	39.000000	
subject_050	Russell_Crowe.jpg	3	2	6.251655e+00	2	2.095817e+00	89.000000	
subject_050	Ran_Danker.jpg	4	3	9.901735e+00	3	3.061633e+00	86.000000	
subject_050	Drew_Barrymore.jpg	5	3	1.451850e+01	3	8.687899e-01	27.000000	
subject_050	Tamar_Ish-Shalom.jpg	6	4	1.693521e+01	4	2.220031e+00	100.000000	
subject_050	Nicolas_Cage.jpg	7	3	2.070196e+01	3	3.357146e+00	74.000000	
subject_050	Anne_hathaway.jpg	8	4	2.560207e+01	4	3.928916e+00	6.000000	
subject_050	Tali_Moreno.jpg	9	2	3.108554e+01	2	2.229360e+00	98.000000	
subject_050	Beyonce_Knowles.jpg	10	2	3.486893e+01	2	8.299347e-01	15.000000	
subject_050	Charlie_Sheen.jpg	11	2	3.725232e+01	2	1.758451e+00	22.000000	
subject_050	Justin_Timberlake.jpg	12	3	4.056905e+01	3	1.489643e+00	56.000000	
subject_050	Ninet_Tayeb.jpg	13	4	4.360245e+01	4	7.681657e-01	76.000000	
subject_050	Esti_Ginzburg.jpg	14	4	4.591917e+01	4	8.514169e-01	31.000000	
subject_050	Gwyneth_Paltrow.jpg	15	2	4.831923e+01	2	2.139267e+00	36.000000	
subject_050	Michelle_Obama.jpg	16	1	5.200263e+01	1	3.279731e+00	67.000000	
subject_050	Bill_Clinton.jpg	17	3	5.683609e+01	3	1.678223e+00	16.000000	
subject_050	Ben_Stiller.jpg	18	2	6.006958e+01	2	1.124679e+00	13.000000	
subject_050	Arnold_schwarzenegger.jpg	19	1	6.273627e+01	1	1.017921e+00	8.000000	
subject_050	Sassi_Keshet.jpg	20	3	6.530304e+01	3	1.155066e+00	93.000000	
subject_050	Geula_Even.jpg	21	2	6.800299e+01	2	2.711006e+00	33.000000	
subject_050	Benedict_Cumberbatch.jpg	22	3	7.226979e+01	3	1.092218e+00	14.000000	
subject_050	Adam_Sandler.jpg	23	2	7.491983e+01	2	1.434049e+00	2.000000	
subject_050	Bradd_Pitt.jpg	24	1	7.790323e+01	1	1.330598e+00	17.000000	
subject_050	Keanu_Reeves.jpg	25	2	8.078662e+01	2	1.983084e+00	58.000000	
subject_050	Roni_Duani.jpg	26	2	8.432001e+01	2	1.009663e+00	88.000000	
subject_050	Miri_Bohadana.jpg	27	2	8.688680e+01	2	1.114832e+00	70.000000	
subject_050	Linoy_Bar-Geffen.jpg	28	2	8.955345e+01	2	8.241375e-01	63.000000	
subject_050	Shlomo_Bar-Aba.jpg	29	5	9.192027e+01	5	2.689209e+00	97.000000	
subject_050	Nicole_Kidman.jpg	30	2	9.615359e+01	2	2.247778e+00	75.000000	
subject_050	Sara_Palin.jpg	31	3	9.995367e+01	3	1.583627e+00	92.000000	
subject_050	Yael_Abecassis.jpg	32	3	1.030871e+02	3	6.902061e-01	105.000000	
subject_050	Yael_Bar-Zohar.jpg	33	3	1.053204e+02	3	1.040759e+00	106.000000	
subject_050	Shih_Labeouf.jpg	34	3	1.079038e+02	3	2.137249e+00	96.000000	
subject_050	Abigail_Arieli.jpg	35	3	1.115873e+02	3	7.898105e-01	1.000000	
subject_050	Limor_Goldstein.jpg	36	2	1.139206e+02	2	1.464359e+00	62.000000	
subject_050	Oprah_Winfrey.jpg	37	1	1.169374e+02	1	2.191512e+00	80.000000	
subject_050	Lior_Ashkenazi.jpg	38	2	1.206708e+02	2	3.098016e+00	64.000000	
subject_050	Ofer_Shechter.jpg	39	3	1.253209e+02	3	1.439855e+00	78.000000	
subject_050	Noa_Tishby.jpg	40	2	1.283043e+02	2	1.360364e+00	77.000000	
subject_050	Courteney_Cox.jpg	41	2	1.312210e+02	2	1.123599e+00	24.000000	
subject_050	Guy_Zilberman.jpg	42	3	1.338877e+02	3	1.712796e+00	35.000000	
subject_050	Madonna.jpg	43	3	1.371545e+02	3	1.006001e+00	65.000000	
subject_050	Pierce_Brosnan.jpg	44	1	1.397045e+02	1	1.559873e+00	84.000000	
subject_050	Johnny_Depp.jpg	45	1	1.428213e+02	1	9.551056e-01	51.000000	
subject_050	Helen_Hunt.jpg	46	2	1.453213e+02	2	1.038923e+00	40.000000	
subject_050	Kim_Kardashian.jpg	47	2	1.479047e+02	2	1.383512e+00	60.000000	
subject_050	Sharon_Stone.jpg	48	3	1.508381e+02	3	1.082037e+00	95.000000	
subject_050	Hillary_Cllinton.jpg	49	2	1.534715e+02	2	1.632588e+00	41.000000	
subject_050	Ryan_Gosling.jpg	50	3	1.566549e+02	3	2.073101e+00	90.000000	
subject_050	Natalie_Portman.jpg	51	3	1.602716e+02	3	4.456199e+00	73.000000	
subject_050	Ola_Schor.jpg	52	3	1.662718e+02	3	1.952013e+00	79.000000	
subject_050	David_Schwimmer.jpg	53	1	1.697718e+02	1	1.571875e+00	25.000000	
subject_050	Avri_Gilad.jpg	54	3	1.728886e+02	3	1.479071e+00	11.000000	
subject_050	Miley_Cyrus.jpg	55	2	1.759220e+02	2	1.357587e+00	69.000000	
subject_050	Jennifer_Aniston.jpg	56	2	1.788220e+02	2	9.614792e-01	47.000000	
subject_050	Alma_Zak.jpg	57	4	1.813388e+02	4	1.660679e+00	4.000000	
subject_050	Keren_Peles.jpg	58	4	1.845555e+02	4	1.083880e+00	59.000000	
subject_050	Joseph_Gordon-Levitt.jpg	59	2	1.871889e+02	2	1.946386e+00	52.000000	
subject_050	Ryan_Seacrest.jpg	60	3	1.906889e+02	3	1.622271e+00	91.000000	
subject_050	Guy_Arieli.jpg	61	3	1.938557e+02	3	1.103467e+00	34.000000	
subject_050	Cameron_Diaz.jpg	62	2	1.965057e+02	2	1.173320e+00	21.000000	
