Stim Name1	Stim Name2	StimNum1	StimNum2
Adam_Sandler	Bruce_Willis	7	37
Jim_Carrey	Bradley_Cooper	4	35
Jim_Carrey	Katie_Holmes	4	34
Adam_Sandler	Bruce_Willis	7	37
Oprah_Winfrey	Alma_Zak	6	36
Miley_Cyrus	Katie_Holmes	5	34
Jim_Carrey	Bradley_Cooper	4	35
Miley_Cyrus	Bruce_Willis	5	37
Oprah_Winfrey	Bruce_Willis	6	37
Jim_Carrey	Katie_Holmes	4	34
Miley_Cyrus	Katie_Holmes	5	34
Adam_Sandler	Alma_Zak	7	36
Oprah_Winfrey	Katie_Holmes	6	34
Adam_Sandler	Bradley_Cooper	7	35
Oprah_Winfrey	Bruce_Willis	6	37
Miley_Cyrus	Bruce_Willis	5	37
Adam_Sandler	Bradley_Cooper	7	35
Jim_Carrey	Bruce_Willis	4	37
Miley_Cyrus	Katie_Holmes	5	34
Oprah_Winfrey	Bradley_Cooper	6	35
Jim_Carrey	Bruce_Willis	4	37
Jim_Carrey	Bradley_Cooper	4	35
Miley_Cyrus	Bradley_Cooper	5	35
Adam_Sandler	Katie_Holmes	7	34
Miley_Cyrus	Alma_Zak	5	36
Oprah_Winfrey	Bruce_Willis	6	37
Oprah_Winfrey	Katie_Holmes	6	34
Oprah_Winfrey	Alma_Zak	6	36
Adam_Sandler	Bruce_Willis	7	37
Jim_Carrey	Alma_Zak	4	36
Jim_Carrey	Katie_Holmes	4	34
Miley_Cyrus	Alma_Zak	5	36
Jim_Carrey	Alma_Zak	4	36
Miley_Cyrus	Alma_Zak	5	36
Oprah_Winfrey	Katie_Holmes	6	34
Miley_Cyrus	Bruce_Willis	5	37
Adam_Sandler	Katie_Holmes	7	34
Oprah_Winfrey	Alma_Zak	6	36
Miley_Cyrus	Bradley_Cooper	5	35
Adam_Sandler	Katie_Holmes	7	34
Adam_Sandler	Alma_Zak	7	36
Miley_Cyrus	Bruce_Willis	5	37
Oprah_Winfrey	Katie_Holmes	6	34
Jim_Carrey	Katie_Holmes	4	34
Adam_Sandler	Bradley_Cooper	7	35
Jim_Carrey	Bruce_Willis	4	37
Jim_Carrey	Bradley_Cooper	4	35
Oprah_Winfrey	Alma_Zak	6	36
Miley_Cyrus	Alma_Zak	5	36
Adam_Sandler	Bradley_Cooper	7	35
Adam_Sandler	Bruce_Willis	7	37
Adam_Sandler	Alma_Zak	7	36
Miley_Cyrus	Bradley_Cooper	5	35
Oprah_Winfrey	Bruce_Willis	6	37
Oprah_Winfrey	Bradley_Cooper	6	35
Adam_Sandler	Alma_Zak	7	36
Adam_Sandler	Katie_Holmes	7	34
Oprah_Winfrey	Bradley_Cooper	6	35
Jim_Carrey	Bruce_Willis	4	37
Oprah_Winfrey	Bradley_Cooper	6	35
Miley_Cyrus	Katie_Holmes	5	34
Jim_Carrey	Alma_Zak	4	36
Miley_Cyrus	Bradley_Cooper	5	35
Jim_Carrey	Alma_Zak	4	36
