Stim Name1	Stim Name2	StimNum1	StimNum2
Esti_Ginzburg	Yona_Elian	7	37
Britney_Spears	Asi_Cohen	4	35
Britney_Spears	Leonardo_Dicaprio	4	34
Esti_Ginzburg	Yona_Elian	7	37
Miri_Bohadana	Arik_Einstein	6	36
Michal_Yanai	Leonardo_Dicaprio	5	34
Britney_Spears	Asi_Cohen	4	35
Michal_Yanai	Yona_Elian	5	37
Miri_Bohadana	Yona_Elian	6	37
Britney_Spears	Leonardo_Dicaprio	4	34
Michal_Yanai	Leonardo_Dicaprio	5	34
Esti_Ginzburg	Arik_Einstein	7	36
Miri_Bohadana	Leonardo_Dicaprio	6	34
Esti_Ginzburg	Asi_Cohen	7	35
Miri_Bohadana	Yona_Elian	6	37
Michal_Yanai	Yona_Elian	5	37
Esti_Ginzburg	Asi_Cohen	7	35
Britney_Spears	Yona_Elian	4	37
Michal_Yanai	Leonardo_Dicaprio	5	34
Miri_Bohadana	Asi_Cohen	6	35
Britney_Spears	Yona_Elian	4	37
Britney_Spears	Asi_Cohen	4	35
Michal_Yanai	Asi_Cohen	5	35
Esti_Ginzburg	Leonardo_Dicaprio	7	34
Michal_Yanai	Arik_Einstein	5	36
Miri_Bohadana	Yona_Elian	6	37
Miri_Bohadana	Leonardo_Dicaprio	6	34
Miri_Bohadana	Arik_Einstein	6	36
Esti_Ginzburg	Yona_Elian	7	37
Britney_Spears	Arik_Einstein	4	36
Britney_Spears	Leonardo_Dicaprio	4	34
Michal_Yanai	Arik_Einstein	5	36
Britney_Spears	Arik_Einstein	4	36
Michal_Yanai	Arik_Einstein	5	36
Miri_Bohadana	Leonardo_Dicaprio	6	34
Michal_Yanai	Yona_Elian	5	37
Esti_Ginzburg	Leonardo_Dicaprio	7	34
Miri_Bohadana	Arik_Einstein	6	36
Michal_Yanai	Asi_Cohen	5	35
Esti_Ginzburg	Leonardo_Dicaprio	7	34
Esti_Ginzburg	Arik_Einstein	7	36
Michal_Yanai	Yona_Elian	5	37
Miri_Bohadana	Leonardo_Dicaprio	6	34
Britney_Spears	Leonardo_Dicaprio	4	34
Esti_Ginzburg	Asi_Cohen	7	35
Britney_Spears	Yona_Elian	4	37
Britney_Spears	Asi_Cohen	4	35
Miri_Bohadana	Arik_Einstein	6	36
Michal_Yanai	Arik_Einstein	5	36
Esti_Ginzburg	Asi_Cohen	7	35
Esti_Ginzburg	Yona_Elian	7	37
Esti_Ginzburg	Arik_Einstein	7	36
Michal_Yanai	Asi_Cohen	5	35
Miri_Bohadana	Yona_Elian	6	37
Miri_Bohadana	Asi_Cohen	6	35
Esti_Ginzburg	Arik_Einstein	7	36
Esti_Ginzburg	Leonardo_Dicaprio	7	34
Miri_Bohadana	Asi_Cohen	6	35
Britney_Spears	Yona_Elian	4	37
Miri_Bohadana	Asi_Cohen	6	35
Michal_Yanai	Leonardo_Dicaprio	5	34
Britney_Spears	Arik_Einstein	4	36
Michal_Yanai	Asi_Cohen	5	35
Britney_Spears	Arik_Einstein	4	36
