subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_032	Tamar_Ish-Shalom.jpg	1	5	8.766448e-03	5	4.907326e+00	100.000000	
subject_032	Cameron_Diaz.jpg	2	4	6.458899e+00	4	1.857125e+00	21.000000	
subject_032	Yona_Elian.jpg	3	5	9.859022e+00	5	1.744924e+00	110.000000	
subject_032	Esti_Ginzburg.jpg	4	4	1.315912e+01	4	1.204781e+00	31.000000	
subject_032	Charlie_Sheen.jpg	5	3	1.590920e+01	3	2.222618e+00	22.000000	
subject_032	Ben_Stiller.jpg	6	1	1.967595e+01	1	1.215812e+00	13.000000	
subject_032	Yael_Sharoni.jpg	7	2	2.244269e+01	2	1.905005e+00	107.000000	
subject_032	Michal_Yanai.jpg	8	2	2.589278e+01	2	2.886847e+00	66.000000	
subject_032	Shih_Labeouf.jpg	9	1	3.032624e+01	1	1.021312e+00	96.000000	
subject_032	Sharon_Stone.jpg	10	4	3.289297e+01	4	2.102502e+00	95.000000	
subject_032	Halle_Berry.jpg	11	4	3.654307e+01	4	1.524337e+00	37.000000	
subject_032	Bradd_Pitt.jpg	12	1	3.960982e+01	1	1.425533e+00	17.000000	
subject_032	Ran_Danker.jpg	13	1	4.257654e+01	1	9.467313e-01	86.000000	
subject_032	Roni_Duani.jpg	14	1	4.507663e+01	1	1.366601e+00	88.000000	
subject_032	Anne_hathaway.jpg	15	1	4.799339e+01	1	2.313773e+00	6.000000	
subject_032	Ellen_Degeneres.jpg	16	1	5.186012e+01	1	9.269858e-01	29.000000	
subject_032	Christina_Aguilera.jpg	17	1	5.434356e+01	1	1.403486e+00	23.000000	
subject_032	James_Franco.jpg	18	2	5.729366e+01	2	8.613320e-01	45.000000	
subject_032	Bruce_Willis.jpg	19	3	5.971036e+01	3	1.356573e+00	20.000000	
subject_032	Emma_Stone.jpg	20	3	6.261045e+01	3	1.544457e+00	30.000000	
subject_032	Yehuda_Levi.jpg	21	1	6.571052e+01	1	1.244295e+00	109.000000	
subject_032	Dudu_Topaz.jpg	22	1	6.851060e+01	1	1.052168e+00	28.000000	
subject_032	Shakira.jpg	23	3	7.111067e+01	3	1.276031e+00	94.000000	
subject_032	Moshe_Peretz.jpg	24	3	7.394405e+01	3	9.066056e-01	72.000000	
subject_032	Angelina_Jolie.jpg	25	2	7.639414e+01	2	2.056429e+00	5.000000	
subject_032	Hillary_Cllinton.jpg	26	2	7.999424e+01	2	1.288284e+00	41.000000	
subject_032	Oprah_Winfrey.jpg	27	1	8.282766e+01	1	1.758792e+00	80.000000	
subject_032	Benedict_Cumberbatch.jpg	28	1	8.612775e+01	1	9.946462e-01	14.000000	
subject_032	Yardena_Arazi.jpg	29	1	8.867780e+01	1	9.325543e-01	108.000000	
subject_032	Ivri_Lider.jpg	30	3	9.116118e+01	3	1.489106e+00	44.000000	
subject_032	Bradley_Cooper.jpg	31	3	9.419462e+01	3	1.015620e+00	18.000000	
subject_032	Vanna_White.jpg	32	3	9.676136e+01	3	8.768659e+00	103.000000	
subject_032	Drew_Barrymore.jpg	33	2	1.070783e+02	2	1.339651e+00	27.000000	
subject_032	Adam_Sandler.jpg	34	3	1.099617e+02	3	2.328161e+00	2.000000	
subject_032	Leonardo_Dicaprio.jpg	35	4	1.138452e+02	4	9.646702e-01	61.000000	
subject_032	Abigail_Arieli.jpg	36	4	1.163619e+02	4	7.839150e-01	1.000000	
