subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_075	Yael_Sharoni.jpg	1	4	1.046617e-02	4	2.164977e+00	107.000000	
subject_075	Vanna_White.jpg	2	4	3.727303e+00	4	2.176047e+00	103.000000	
subject_075	Michelle_Obama.jpg	3	3	7.460618e+00	3	2.634625e+00	67.000000	
subject_075	Cameron_Diaz.jpg	4	1	1.164406e+01	1	1.419090e+00	21.000000	
subject_075	Bradd_Pitt.jpg	5	1	1.461079e+01	1	1.076357e+00	17.000000	
subject_075	Angelina_Jolie.jpg	6	1	1.724427e+01	1	1.042846e+00	5.000000	
subject_075	Yona_Elian.jpg	7	3	1.984429e+01	3	2.730656e+00	110.000000	
subject_075	Natalie_Portman.jpg	8	2	2.412770e+01	2	2.335211e+00	73.000000	
subject_075	Moshe_Peretz.jpg	9	5	2.801111e+01	5	2.395700e+00	72.000000	
subject_075	Jim_Carrey.jpg	10	1	3.196122e+01	1	1.333546e+00	50.000000	
subject_075	Alma_Zak.jpg	11	5	3.484461e+01	5	1.738052e+00	4.000000	
subject_075	Keren_Peles.jpg	12	5	3.812803e+01	5	1.942556e+00	59.000000	
subject_075	Ellen_Degeneres.jpg	13	4	4.162811e+01	4	2.402422e+00	29.000000	
subject_075	Asi_Cohen.jpg	14	3	4.557821e+01	3	2.076156e+00	10.000000	
subject_075	Tom_Hanks.jpg	15	1	4.921168e+01	1	9.307028e-01	102.000000	
subject_075	Esti_Ginzburg.jpg	16	2	5.169501e+01	2	2.887205e+00	31.000000	
subject_075	David_Schwimmer.jpg	17	1	5.612846e+01	1	1.173711e+00	25.000000	
subject_075	Keanu_Reeves.jpg	18	1	5.884520e+01	1	1.248897e+00	58.000000	
subject_075	Halle_Berry.jpg	19	1	6.164529e+01	1	9.607097e-01	37.000000	
subject_075	Charlie_Sheen.jpg	20	1	6.416206e+01	1	9.799312e-01	22.000000	
subject_075	Yardena_Arazi.jpg	21	3	6.669538e+01	3	2.262555e+00	108.000000	
subject_075	Yael_Abecassis.jpg	22	1	7.051214e+01	1	2.653702e+00	105.000000	
subject_075	Jerry_Seinfeld.jpg	23	1	7.471229e+01	1	1.533447e+00	49.000000	
subject_075	Julia_Louis-Dreyfus.jpg	24	1	7.779571e+01	1	9.539524e-01	53.000000	
subject_075	Tamar_Ish-Shalom.jpg	25	5	8.029573e+01	5	3.141828e+00	100.000000	
subject_075	Sassi_Keshet.jpg	26	4	8.497915e+01	4	2.386334e+00	93.000000	
subject_075	Shih_Labeouf.jpg	27	2	8.891259e+01	2	2.508762e+00	96.000000	
subject_075	Oz_Zehavi.jpg	28	1	9.297937e+01	1	1.225987e+00	82.000000	
subject_075	Sara_Palin.jpg	29	3	9.576280e+01	3	3.394446e+00	92.000000	
subject_075	Kim_Kardashian.jpg	30	1	1.007129e+02	1	1.724244e+00	60.000000	
subject_075	Mikel_Luis.jpg	31	3	1.039797e+02	3	3.977379e+00	68.000000	
subject_075	Nicolas_Cage.jpg	32	2	1.095131e+02	2	2.595797e+00	74.000000	
subject_075	Ryan_Gosling.jpg	33	1	1.136632e+02	1	2.173576e+00	90.000000	
subject_075	Justin_Bieber.jpg	34	1	1.173800e+02	1	9.047807e-01	55.000000	
subject_075	Ivri_Lider.jpg	35	2	1.198301e+02	2	2.990629e+00	44.000000	
subject_075	Avri_Gilad.jpg	36	3	1.243635e+02	3	1.585086e+00	11.000000	
subject_075	Ofer_Shechter.jpg	37	3	1.274969e+02	3	3.387555e+00	78.000000	
subject_075	Jennifer_Aniston.jpg	38	1	1.324303e+02	1	1.262053e+00	47.000000	
subject_075	Geula_Even.jpg	39	2	1.352471e+02	2	1.645227e+00	33.000000	
subject_075	Ashton_Kutcher.jpg	40	1	1.384472e+02	1	8.850717e-01	9.000000	
subject_075	Bill_Clinton.jpg	41	1	1.408806e+02	1	1.067629e+00	16.000000	
subject_075	Anne_hathaway.jpg	42	1	1.434973e+02	1	1.074847e+00	6.000000	
subject_075	Noa_Tishby.jpg	43	2	1.461140e+02	2	2.338109e+00	77.000000	
subject_075	Nicole_Kidman.jpg	44	1	1.499975e+02	1	1.174540e+00	75.000000	
subject_075	Benedict_Cumberbatch.jpg	45	1	1.527142e+02	1	1.225787e+00	14.000000	
subject_075	Yehuda_Levi.jpg	46	1	1.554976e+02	1	7.143583e-01	109.000000	
subject_075	Pierce_Brosnan.jpg	47	1	1.577643e+02	1	7.195605e-01	84.000000	
subject_075	Michal_Yanai.jpg	48	3	1.600310e+02	3	3.148752e+00	66.000000	
subject_075	Justin_Timberlake.jpg	49	1	1.647311e+02	1	3.008532e+00	56.000000	
subject_075	Abigail_Arieli.jpg	50	4	1.692979e+02	4	2.449672e+00	1.000000	
subject_075	Arik_Einstein.jpg	51	1	1.732980e+02	1	1.537487e+00	7.000000	
subject_075	Helen_Hunt.jpg	52	1	1.763814e+02	1	1.269966e+00	40.000000	
subject_075	Bradley_Cooper.jpg	53	1	1.791981e+02	1	1.093208e+00	18.000000	
subject_075	Moran_Atias.jpg	54	2	1.818482e+02	2	2.875054e+00	71.000000	
subject_075	George_Clooney.jpg	55	1	1.862650e+02	1	9.622273e-01	32.000000	
subject_075	Christina_Aguilera.jpg	56	1	1.887817e+02	1	1.573406e+00	23.000000	
subject_075	Adi_Himelbloy.jpg	57	4	1.918984e+02	4	2.440604e+00	3.000000	
subject_075	Ryan_Seacrest.jpg	58	4	1.958819e+02	4	2.273031e+00	91.000000	
subject_075	Harel_Skaat.jpg	59	1	1.996986e+02	1	1.232211e+00	38.000000	
subject_075	Yael_Bar-Zohar.jpg	60	5	2.024820e+02	5	2.376715e+00	106.000000	
subject_075	Will_Smith.jpg	61	1	2.064155e+02	1	8.272228e-01	104.000000	
subject_075	Russell_Crowe.jpg	62	1	2.087988e+02	1	2.995755e+00	89.000000	
subject_075	Hillary_Cllinton.jpg	63	1	2.133490e+02	1	8.215634e-01	41.000000	
subject_075	Tali_Moreno.jpg	64	3	2.157157e+02	3	2.310761e+00	98.000000	
subject_075	Guy_Zilberman.jpg	65	4	2.195825e+02	4	2.291915e+00	35.000000	
subject_075	Oshri_Cohen.jpg	66	1	2.234326e+02	1	1.017745e+00	81.000000	
subject_075	Harrison_Ford.jpg	67	1	2.259993e+02	1	1.154992e+00	39.000000	
subject_075	Tali_Sharon.jpg	68	4	2.286993e+02	4	2.822792e+00	99.000000	
subject_075	Julia_Roberts.jpg	69	1	2.330661e+02	1	8.159179e-01	54.000000	
subject_075	Ola_Schor.jpg	70	4	2.354329e+02	4	2.177128e+00	79.000000	
subject_075	Katie_Holmes.jpg	71	3	2.391663e+02	3	1.931647e+00	57.000000	
subject_075	Courteney_Cox.jpg	72	1	2.426497e+02	1	8.001926e-01	24.000000	
subject_075	Shakira.jpg	73	2	2.449998e+02	2	2.554028e+00	94.000000	
subject_075	Miri_Bohadana.jpg	74	3	2.490999e+02	3	2.677824e+00	70.000000	
subject_075	Leonardo_Dicaprio.jpg	75	1	2.533333e+02	1	8.123394e-01	61.000000	
subject_075	Miley_Cyrus.jpg	76	1	2.557000e+02	1	1.781571e+00	69.000000	
subject_075	Linoy_Bar-Geffen.jpg	77	1	2.590334e+02	1	1.312055e+00	63.000000	
subject_075	Shlomo_Bar-Aba.jpg	78	1	2.619002e+02	1	1.141299e+00	97.000000	
subject_075	Tom_Cruise.jpg	79	1	2.645835e+02	1	7.538234e-01	101.000000	
subject_075	Arnold_schwarzenegger.jpg	80	1	2.668836e+02	1	9.176936e-01	8.000000	
subject_075	James_Franco.jpg	81	1	2.693503e+02	1	9.789054e-01	45.000000	
subject_075	Hugh_Grant.jpg	82	4	2.718838e+02	4	3.677375e+00	42.000000	
subject_075	Dudu_Topaz.jpg	83	3	2.771172e+02	3	2.691822e+00	28.000000	
subject_075	Ben_Stiller.jpg	84	1	2.813507e+02	1	9.303142e-01	13.000000	
subject_075	Paul_Walker.jpg	85	3	2.838340e+02	3	2.566863e+00	83.000000	
subject_075	Emma_Stone.jpg	86	4	2.879508e+02	4	1.242038e+00	30.000000	
subject_075	Guy_Arieli.jpg	87	2	2.907509e+02	2	2.849826e+00	34.000000	
subject_075	Rami_Keinstein.jpg	88	4	2.951510e+02	4	3.833637e+00	85.000000	
subject_075	Limor_Goldstein.jpg	89	4	3.005344e+02	4	3.026029e+00	62.000000	
subject_075	Demi_Moore.jpg	90	2	3.051179e+02	2	2.522491e+00	26.000000	
subject_075	Barak_Obama.jpg	91	1	3.091846e+02	1	7.916759e-01	12.000000	
