Stim Name1	Stim Name2	StimNum1	StimNum2
Miley_Cyrus	Bruce_Willis	7	37
Hillary_Cllinton	Lior_Ashkenazi	4	35
Hillary_Cllinton	Asi_Cohen	4	34
Miley_Cyrus	Bruce_Willis	7	37
Charlie_Sheen	Ivri_Lider	6	36
Yehuda_Levi	Asi_Cohen	5	34
Hillary_Cllinton	Lior_Ashkenazi	4	35
Yehuda_Levi	Bruce_Willis	5	37
Charlie_Sheen	Bruce_Willis	6	37
Hillary_Cllinton	Asi_Cohen	4	34
Yehuda_Levi	Asi_Cohen	5	34
Miley_Cyrus	Ivri_Lider	7	36
Charlie_Sheen	Asi_Cohen	6	34
Miley_Cyrus	Lior_Ashkenazi	7	35
Charlie_Sheen	Bruce_Willis	6	37
Yehuda_Levi	Bruce_Willis	5	37
Miley_Cyrus	Lior_Ashkenazi	7	35
Hillary_Cllinton	Bruce_Willis	4	37
Yehuda_Levi	Asi_Cohen	5	34
Charlie_Sheen	Lior_Ashkenazi	6	35
Hillary_Cllinton	Bruce_Willis	4	37
Hillary_Cllinton	Lior_Ashkenazi	4	35
Yehuda_Levi	Lior_Ashkenazi	5	35
Miley_Cyrus	Asi_Cohen	7	34
Yehuda_Levi	Ivri_Lider	5	36
Charlie_Sheen	Bruce_Willis	6	37
Charlie_Sheen	Asi_Cohen	6	34
Charlie_Sheen	Ivri_Lider	6	36
Miley_Cyrus	Bruce_Willis	7	37
Hillary_Cllinton	Ivri_Lider	4	36
Hillary_Cllinton	Asi_Cohen	4	34
Yehuda_Levi	Ivri_Lider	5	36
Hillary_Cllinton	Ivri_Lider	4	36
Yehuda_Levi	Ivri_Lider	5	36
Charlie_Sheen	Asi_Cohen	6	34
Yehuda_Levi	Bruce_Willis	5	37
Miley_Cyrus	Asi_Cohen	7	34
Charlie_Sheen	Ivri_Lider	6	36
Yehuda_Levi	Lior_Ashkenazi	5	35
Miley_Cyrus	Asi_Cohen	7	34
Miley_Cyrus	Ivri_Lider	7	36
Yehuda_Levi	Bruce_Willis	5	37
Charlie_Sheen	Asi_Cohen	6	34
Hillary_Cllinton	Asi_Cohen	4	34
Miley_Cyrus	Lior_Ashkenazi	7	35
Hillary_Cllinton	Bruce_Willis	4	37
Hillary_Cllinton	Lior_Ashkenazi	4	35
Charlie_Sheen	Ivri_Lider	6	36
Yehuda_Levi	Ivri_Lider	5	36
Miley_Cyrus	Lior_Ashkenazi	7	35
Miley_Cyrus	Bruce_Willis	7	37
Miley_Cyrus	Ivri_Lider	7	36
Yehuda_Levi	Lior_Ashkenazi	5	35
Charlie_Sheen	Bruce_Willis	6	37
Charlie_Sheen	Lior_Ashkenazi	6	35
Miley_Cyrus	Ivri_Lider	7	36
Miley_Cyrus	Asi_Cohen	7	34
Charlie_Sheen	Lior_Ashkenazi	6	35
Hillary_Cllinton	Bruce_Willis	4	37
Charlie_Sheen	Lior_Ashkenazi	6	35
Yehuda_Levi	Asi_Cohen	5	34
Hillary_Cllinton	Ivri_Lider	4	36
Yehuda_Levi	Lior_Ashkenazi	5	35
Hillary_Cllinton	Ivri_Lider	4	36
