subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_030	Leonardo_Dicaprio.jpg	1	1	2.061930e-02	1	1.603076e+00	61.000000	
subject_030	George_Clooney.jpg	2	1	3.170619e+00	1	1.045046e+00	32.000000	
subject_030	Arnold_schwarzenegger.jpg	3	2	5.770673e+00	2	1.804887e+00	8.000000	
subject_030	Ryan_Gosling.jpg	4	1	9.120771e+00	1	1.182770e+00	90.000000	
subject_030	Yael_Bar-Zohar.jpg	5	2	1.185417e+01	2	2.009292e+00	106.000000	
subject_030	Julia_Louis-Dreyfus.jpg	6	1	1.542087e+01	1	1.122477e+00	53.000000	
subject_030	Esti_Ginzburg.jpg	7	3	1.808763e+01	3	3.343635e+00	31.000000	
subject_030	Justin_Bieber.jpg	8	1	2.298780e+01	1	1.283374e+00	55.000000	
subject_030	Ben_Stiller.jpg	9	1	2.582109e+01	1	1.138041e+00	13.000000	
subject_030	James_Franco.jpg	10	5	2.850449e+01	5	3.926537e+00	45.000000	
subject_030	Jerry_Seinfeld.jpg	11	5	3.398794e+01	5	1.418969e+00	49.000000	
subject_030	Christina_Aguilera.jpg	12	4	3.695467e+01	4	3.924138e+00	23.000000	
subject_030	Hugh_Grant.jpg	13	5	4.242144e+01	5	1.689290e+00	42.000000	
subject_030	Nicolas_Cage.jpg	14	1	4.565486e+01	1	1.767777e+00	74.000000	
subject_030	Nicole_Kidman.jpg	15	1	4.897161e+01	1	1.139004e+00	75.000000	
subject_030	Noa_Tishby.jpg	16	5	5.165498e+01	5	3.815490e+00	77.000000	
subject_030	Hillary_Cllinton.jpg	17	5	5.702176e+01	5	9.766606e-01	41.000000	
subject_030	Keren_Peles.jpg	18	1	5.955515e+01	1	1.667134e+00	59.000000	
subject_030	Arik_Einstein.jpg	19	1	6.277192e+01	1	9.782925e-01	7.000000	
subject_030	Ofer_Shechter.jpg	20	1	6.530527e+01	1	1.028884e+00	78.000000	
subject_030	Jennifer_Lopez.jpg	21	3	6.788870e+01	3	3.325343e+00	48.000000	
subject_030	Johnny_Depp.jpg	22	1	7.275549e+01	1	1.866468e+00	51.000000	
subject_030	Limor_Goldstein.jpg	23	5	7.617218e+01	5	2.025702e+00	62.000000	
subject_030	Moshe_Peretz.jpg	24	5	7.973895e+01	5	2.130848e+00	72.000000	
subject_030	Dudu_Topaz.jpg	25	5	8.342237e+01	5	1.095360e+00	28.000000	
subject_030	Adi_Himelbloy.jpg	26	5	8.607243e+01	5	1.877291e+00	3.000000	
subject_030	Miley_Cyrus.jpg	27	1	8.950579e+01	1	1.323875e+00	69.000000	
subject_030	Bradley_Cooper.jpg	28	1	9.237252e+01	1	1.201081e+00	18.000000	
subject_030	Michelle_Obama.jpg	29	4	9.512258e+01	4	2.866914e+00	67.000000	
subject_030	Yael_Abecassis.jpg	30	3	9.953935e+01	3	3.737983e+00	105.000000	
subject_030	Halle_Berry.jpg	31	2	1.048228e+02	2	3.574468e+00	37.000000	
subject_030	Helen_Hunt.jpg	32	1	1.099396e+02	1	1.745590e+00	40.000000	
subject_030	Jim_Carrey.jpg	33	5	1.132396e+02	5	2.733444e+00	50.000000	
subject_030	Sharon_Stone.jpg	34	3	1.175230e+02	3	3.601919e+00	95.000000	
subject_030	Yardena_Arazi.jpg	35	5	1.226732e+02	5	3.683667e+00	108.000000	
subject_030	Sara_Palin.jpg	36	5	1.279066e+02	5	2.330133e+00	92.000000	
subject_030	Ran_Danker.jpg	37	2	1.317900e+02	2	3.326603e+00	86.000000	
subject_030	Keanu_Reeves.jpg	38	5	1.366735e+02	5	3.267051e+00	58.000000	
subject_030	Benedict_Cumberbatch.jpg	39	4	1.414902e+02	4	3.002188e+00	14.000000	
subject_030	Paul_Walker.jpg	40	2	1.460403e+02	2	2.787982e+00	83.000000	
subject_030	Alma_Zak.jpg	41	5	1.503738e+02	5	2.598457e+00	4.000000	
subject_030	Michal_Yanai.jpg	42	4	1.545239e+02	4	3.856226e+00	66.000000	
subject_030	Russell_Crowe.jpg	43	2	1.599240e+02	2	2.368019e+00	89.000000	
subject_030	Kim_Kardashian.jpg	44	1	1.638407e+02	1	1.075198e+00	60.000000	
subject_030	Guy_Zilberman.jpg	45	5	1.664574e+02	5	1.418403e+00	35.000000	
subject_030	Will_Smith.jpg	46	3	1.694242e+02	3	2.067629e+00	104.000000	
subject_030	Sassi_Keshet.jpg	47	5	1.730409e+02	5	1.274813e+00	93.000000	
subject_030	Barak_Obama.jpg	48	1	1.758576e+02	1	1.266020e+00	12.000000	
subject_030	Charlie_Sheen.jpg	49	2	1.786744e+02	2	1.913219e+00	22.000000	
subject_030	Tali_Sharon.jpg	50	3	1.821411e+02	3	3.326352e+00	99.000000	
subject_030	Avri_Gilad.jpg	51	5	1.870245e+02	5	9.948392e-01	11.000000	
subject_030	Lior_Ashkenazi.jpg	52	1	1.895746e+02	1	3.316697e+00	64.000000	
subject_030	Ashton_Kutcher.jpg	53	1	1.944414e+02	1	9.697613e-01	9.000000	
subject_030	Britney_Spears.jpg	54	1	1.969581e+02	1	8.209738e-01	19.000000	
subject_030	Bruce_Willis.jpg	55	1	1.993248e+02	1	7.822184e-01	20.000000	
subject_030	Justin_Timberlake.jpg	56	2	2.016582e+02	2	1.728789e+00	56.000000	
subject_030	Yael_Sharoni.jpg	57	5	2.049416e+02	5	1.589276e+00	107.000000	
subject_030	David_Schwimmer.jpg	58	1	2.080750e+02	1	9.358129e-01	25.000000	
subject_030	Ryan_Seacrest.jpg	59	5	2.105584e+02	5	1.276436e+00	91.000000	
subject_030	Oprah_Winfrey.jpg	60	1	2.133918e+02	1	1.251024e+00	80.000000	
subject_030	Harrison_Ford.jpg	61	3	2.161918e+02	3	2.474863e+00	39.000000	
subject_030	Rihanna.jpg	62	1	2.202253e+02	1	2.873324e+00	87.000000	
subject_030	Oz_Zehavi.jpg	63	1	2.246420e+02	1	1.960503e+00	82.000000	
subject_030	Bradd_Pitt.jpg	64	1	2.281588e+02	1	1.507681e+00	17.000000	
subject_030	Ivri_Lider.jpg	65	2	2.312088e+02	2	2.497515e+00	44.000000	
subject_030	Madonna.jpg	66	1	2.352589e+02	1	1.511332e+00	65.000000	
subject_030	Mikel_Luis.jpg	67	2	2.383256e+02	2	2.012523e+00	68.000000	
subject_030	Gwyneth_Paltrow.jpg	68	1	2.418924e+02	1	1.381749e+00	36.000000	
subject_030	Demi_Moore.jpg	69	3	2.448258e+02	3	2.072265e+00	26.000000	
subject_030	Guy_Arieli.jpg	70	5	2.484425e+02	5	1.663444e+00	34.000000	
subject_030	Jennifer_Aniston.jpg	71	1	2.516593e+02	1	9.906520e-01	47.000000	
subject_030	Drew_Barrymore.jpg	72	3	2.541926e+02	3	3.937132e+00	27.000000	
subject_030	Roni_Duani.jpg	73	4	2.596762e+02	4	5.709454e+00	88.000000	
subject_030	Linoy_Bar-Geffen.jpg	74	2	2.669429e+02	2	3.394573e+00	63.000000	
subject_030	Yehuda_Levi.jpg	75	1	2.718931e+02	1	9.083986e-01	109.000000	
subject_030	Beyonce_Knowles.jpg	76	1	2.743431e+02	1	8.503156e-01	15.000000	
subject_030	Rami_Keinstein.jpg	77	3	2.767431e+02	3	3.722149e+00	85.000000	
subject_030	Bill_Clinton.jpg	78	5	2.820099e+02	5	2.287268e+00	16.000000	
subject_030	Cameron_Diaz.jpg	79	1	2.858433e+02	1	1.261784e+00	21.000000	
subject_030	Abigail_Arieli.jpg	80	5	2.886601e+02	5	2.108973e+00	1.000000	
subject_030	Tali_Moreno.jpg	81	2	2.923101e+02	2	3.898763e+00	98.000000	
subject_030	Shih_Labeouf.jpg	82	3	2.977603e+02	3	3.008551e+00	96.000000	
subject_030	Jay_Leno.jpg	83	1	3.023270e+02	1	9.936962e-01	46.000000	
subject_030	Hugh_Laurie.jpg	84	2	3.048771e+02	2	2.075546e+00	43.000000	
subject_030	Shakira.jpg	85	5	3.085105e+02	5	1.714095e+00	94.000000	
subject_030	Asi_Cohen.jpg	86	2	3.117772e+02	2	2.823227e+00	10.000000	
subject_030	Ninet_Tayeb.jpg	87	1	3.161440e+02	1	2.824402e+00	76.000000	
subject_030	Pierce_Brosnan.jpg	88	1	3.205107e+02	1	1.057574e+00	84.000000	
subject_030	Moran_Atias.jpg	89	4	3.231108e+02	4	3.905392e+00	71.000000	
subject_030	Miri_Bohadana.jpg	90	1	3.285609e+02	1	8.872228e-01	70.000000	
subject_030	Ellen_Degeneres.jpg	91	1	3.309943e+02	1	7.737493e-01	29.000000	
subject_030	Natalie_Portman.jpg	92	1	3.333110e+02	1	1.304976e+00	73.000000	
subject_030	Katie_Holmes.jpg	93	3	3.361611e+02	3	2.894782e+00	57.000000	
subject_030	Harel_Skaat.jpg	94	1	3.406112e+02	1	1.028660e+00	38.000000	
subject_030	Shlomo_Bar-Aba.jpg	95	3	3.431946e+02	3	3.213175e+00	97.000000	
subject_030	Julia_Roberts.jpg	96	1	3.479613e+02	1	8.943265e-01	54.000000	
subject_030	Tom_Cruise.jpg	97	1	3.504114e+02	1	9.882728e-01	101.000000	
subject_030	Emma_Stone.jpg	98	1	3.529448e+02	1	1.710749e+00	30.000000	
subject_030	Geula_Even.jpg	99	1	3.562115e+02	1	1.523969e+00	33.000000	
subject_030	Anne_hathaway.jpg	100	1	3.592782e+02	1	1.185151e+00	6.000000	
subject_030	Joseph_Gordon-Levitt.jpg	101	5	3.620116e+02	5	2.035701e+00	52.000000	
subject_030	Adam_Sandler.jpg	102	1	3.655950e+02	1	1.324212e+00	2.000000	
subject_030	Angelina_Jolie.jpg	103	1	3.684619e+02	1	6.652921e-01	5.000000	
subject_030	Tamar_Ish-Shalom.jpg	104	4	3.706785e+02	4	2.728516e+00	100.000000	
subject_030	Courteney_Cox.jpg	105	1	3.749619e+02	1	9.810479e-01	24.000000	
subject_030	Ola_Schor.jpg	106	5	3.774953e+02	5	3.351547e+00	79.000000	
subject_030	Yona_Elian.jpg	107	1	3.823954e+02	1	7.953816e-01	110.000000	
subject_030	Tom_Hanks.jpg	108	1	3.847455e+02	1	1.165259e+00	102.000000	
subject_030	Oshri_Cohen.jpg	109	1	3.874622e+02	1	1.112589e+00	81.000000	
subject_030	Vanna_White.jpg	110	4	3.901289e+02	4	3.477728e+00	103.000000	
