subjectID	stimName	runtrial	subjectAnswerFamiliarity	onsettime_Fam	resp_Fam	RT_Fam	StimNum
subject_080	Shlomo_Bar-Aba.jpg	1	1	1.382517e-02	1	1.705204e+00	97.000000	
subject_080	Tom_Cruise.jpg	2	1	3.263892e+00	1	8.950601e-01	101.000000	
subject_080	Madonna.jpg	3	3	5.713959e+00	3	1.564922e+00	65.000000	
subject_080	Guy_Arieli.jpg	4	3	8.830701e+00	3	1.856101e+00	34.000000	
subject_080	Justin_Timberlake.jpg	5	4	1.223078e+01	4	1.287918e+00	56.000000	
subject_080	Courteney_Cox.jpg	6	1	1.506418e+01	1	1.038502e+00	24.000000	
subject_080	Avri_Gilad.jpg	7	4	1.764758e+01	4	1.702986e+00	11.000000	
subject_080	Moran_Atias.jpg	8	5	2.089768e+01	5	1.548815e+00	71.000000	
subject_080	Geula_Even.jpg	9	4	2.399775e+01	4	1.896665e+00	33.000000	
subject_080	Arnold_schwarzenegger.jpg	10	1	2.744782e+01	1	1.150532e+00	8.000000	
subject_080	Yael_Abecassis.jpg	11	4	3.014789e+01	4	1.370389e+00	105.000000	
subject_080	Miri_Bohadana.jpg	12	5	3.306462e+01	5	1.389634e+00	70.000000	
subject_080	Yona_Elian.jpg	13	5	3.599803e+01	5	1.224143e+00	110.000000	
subject_080	Bill_Clinton.jpg	14	5	3.876476e+01	5	1.209368e+00	16.000000	
subject_080	Abigail_Arieli.jpg	15	3	4.153150e+01	3	2.122506e+00	1.000000	
subject_080	Hillary_Cllinton.jpg	16	1	4.519826e+01	1	1.455678e+00	41.000000	
subject_080	Asi_Cohen.jpg	17	1	4.819833e+01	1	1.711537e+00	10.000000	
subject_080	Ninet_Tayeb.jpg	18	3	5.146507e+01	3	1.660714e+00	76.000000	
subject_080	Christina_Aguilera.jpg	19	3	5.468182e+01	3	1.939884e+00	23.000000	
subject_080	Jim_Carrey.jpg	20	1	5.816523e+01	1	1.936429e+00	50.000000	
subject_080	Ryan_Gosling.jpg	21	4	6.164866e+01	4	1.804888e+00	90.000000	
subject_080	James_Franco.jpg	22	4	6.499874e+01	4	1.766728e+00	45.000000	
subject_080	Johnny_Depp.jpg	23	4	6.831549e+01	4	1.569908e+00	51.000000	
subject_080	Nicole_Kidman.jpg	24	5	7.143223e+01	5	1.013120e+00	75.000000	
subject_080	Natalie_Portman.jpg	25	5	7.399896e+01	5	9.583206e-01	73.000000	
subject_080	Harrison_Ford.jpg	26	2	7.649902e+01	2	2.458163e+00	39.000000	
subject_080	Oz_Zehavi.jpg	27	4	8.049912e+01	4	2.290012e+00	82.000000	
subject_080	Angelina_Jolie.jpg	28	5	8.433255e+01	5	9.284961e-01	5.000000	
subject_080	Moshe_Peretz.jpg	29	5	8.681594e+01	5	9.970433e-01	72.000000	
subject_080	Vanna_White.jpg	30	5	8.936599e+01	5	1.286939e+00	103.000000	
subject_080	Katie_Holmes.jpg	31	5	9.219941e+01	5	1.053487e+00	57.000000	
subject_080	Keren_Peles.jpg	32	5	9.479947e+01	5	1.077329e+00	59.000000	
subject_080	Paul_Walker.jpg	33	5	9.743287e+01	5	1.835849e+00	83.000000	
subject_080	Beyonce_Knowles.jpg	34	3	1.008163e+02	3	3.100307e+00	15.000000	
subject_080	Barak_Obama.jpg	35	1	1.054664e+02	1	1.434180e+00	12.000000	
subject_080	Michal_Yanai.jpg	36	5	1.084498e+02	5	1.690666e+00	66.000000	
subject_080	George_Clooney.jpg	37	3	1.116832e+02	3	3.105141e+00	32.000000	
subject_080	Gwyneth_Paltrow.jpg	38	4	1.163333e+02	4	1.246987e+00	36.000000	
subject_080	Ashton_Kutcher.jpg	39	4	1.191334e+02	4	1.678819e+00	9.000000	
subject_080	Tali_Moreno.jpg	40	4	1.223668e+02	4	9.493586e-01	98.000000	
subject_080	Emma_Stone.jpg	41	5	1.248669e+02	5	9.052582e-01	30.000000	
subject_080	Miley_Cyrus.jpg	42	4	1.273169e+02	4	2.863071e+00	69.000000	
subject_080	Ben_Stiller.jpg	43	5	1.317337e+02	5	2.270209e+00	13.000000	
subject_080	Rami_Keinstein.jpg	44	5	1.355505e+02	5	2.093338e+00	85.000000	
subject_080	Anne_hathaway.jpg	45	5	1.392006e+02	5	1.475226e+00	6.000000	
subject_080	Esti_Ginzburg.jpg	46	5	1.422173e+02	5	8.664469e-01	31.000000	
subject_080	Bradley_Cooper.jpg	47	5	1.446340e+02	5	3.201601e+00	18.000000	
subject_080	Jerry_Seinfeld.jpg	48	5	1.493841e+02	5	2.307398e+00	49.000000	
subject_080	Yehuda_Levi.jpg	49	5	1.532342e+02	5	2.169223e+00	109.000000	
subject_080	Sharon_Stone.jpg	50	5	1.569510e+02	5	1.460360e+00	95.000000	
subject_080	Ofer_Shechter.jpg	51	2	1.599677e+02	2	2.859555e+00	78.000000	
subject_080	Ivri_Lider.jpg	52	5	1.643846e+02	5	1.354623e+00	44.000000	
subject_080	Jay_Leno.jpg	53	1	1.672846e+02	1	3.390510e+00	46.000000	
subject_080	Oprah_Winfrey.jpg	54	4	1.722180e+02	4	1.712991e+00	80.000000	
subject_080	Joseph_Gordon-Levitt.jpg	55	4	1.754848e+02	4	2.094126e+00	52.000000	
subject_080	Kim_Kardashian.jpg	56	4	1.791349e+02	4	1.251953e+00	60.000000	
subject_080	Jennifer_Aniston.jpg	57	4	1.819349e+02	4	1.019845e+00	47.000000	
subject_080	Noa_Tishby.jpg	58	4	1.845017e+02	4	2.853044e+00	77.000000	
subject_080	Harel_Skaat.jpg	59	4	1.889018e+02	4	1.636833e+00	38.000000	
subject_080	Sassi_Keshet.jpg	60	4	1.920852e+02	4	1.845346e+00	93.000000	
subject_080	Will_Smith.jpg	61	2	1.954853e+02	2	2.309203e+00	104.000000	
subject_080	Keanu_Reeves.jpg	62	1	1.993354e+02	1	2.307006e+00	58.000000	
subject_080	Benedict_Cumberbatch.jpg	63	4	2.031855e+02	4	1.352827e+00	14.000000	
subject_080	Arik_Einstein.jpg	64	5	2.060855e+02	5	2.940647e+00	7.000000	
subject_080	Halle_Berry.jpg	65	5	2.105690e+02	5	1.401163e+00	37.000000	
