Stim1Time	Stim2Time	Stim1Fraction	Stim2Fraction	Fusion	Stim1Quantity	Stim2Quantity	InitialStim1	SubjectInd	SubjectCode	Trial	Delta_Val	Delta_Aro	IsHighVal	IsHighAro	Val1_Ranking	Aro1_Ranking	Val2_Ranking	Aro2_Ranking	IsCorrupted	Stim1Name	Stim2Name
14.8479272471741	5.02050201315433	0.747312585842967	0.252687414157033	10.131872944301	3	4	0	1	20	1	NaN	NaN	NaN	NaN	0.7477394	NaN	0.1347452	NaN	0	Tom_Hanks	Justin_Bieber
0	28.4050045644399	0	1	1.59500740980729	0	2	0	1	20	2	NaN	NaN	NaN	NaN	0.8036084	NaN	0.216896	NaN	0	Ashton_Kutcher	Drew_Barrymore
0	29.0585042356979	0	1	0.9414772328455	0	1	0	1	20	3	NaN	NaN	NaN	NaN	0.8036084	NaN	0.2630121	NaN	0	Ashton_Kutcher	Beyonce_Knowles
0.261596814496443	28.8635478017386	0.00898182027740464	0.991018179722595	0.874655244406313	1	1	0	1	20	4	NaN	NaN	NaN	NaN	0.7477394	NaN	0.1347452	NaN	0	Tom_Hanks	Justin_Bieber
7.1862452449277	16.9193219328299	0.298115584335162	0.701884415664838	5.89431935292669	7	6	0	1	20	5	NaN	NaN	NaN	NaN	0.7516084	NaN	0.1785851	NaN	0	Shih_Labeouf	Russell_Crowe
9.19548671762459	3.64002476958558	0.716409838968034	0.283590161031966	17.1643559418153	4	2	1	1	20	6	NaN	NaN	NaN	NaN	0.7662714	NaN	0.2630121	NaN	0	Adam_Sandler	Beyonce_Knowles
17.6593444782775	2.96754009462893	0.856132413785511	0.143867586214489	9.37303645466454	4	2	1	1	20	7	NaN	NaN	NaN	NaN	0.8036084	NaN	0.216896	NaN	0	Ashton_Kutcher	Drew_Barrymore
2.87130533531308	3.72655847738497	0.435187117652694	0.564812882347306	23.401975676883	3	3	0	1	20	8	NaN	NaN	NaN	NaN	0.7662714	NaN	0.1347452	NaN	0	Adam_Sandler	Justin_Bieber
24.9394151144661	1.27993464423344	0.951183585557504	0.048816414442496	3.78070840146393	2	2	0	1	20	9	NaN	NaN	NaN	NaN	0.7516084	NaN	0.1347452	NaN	0	Shih_Labeouf	Justin_Bieber
0	23.2544465409592	0	1	6.74543400271796	0	3	0	1	20	10	NaN	NaN	NaN	NaN	0.8036084	NaN	0.2630121	NaN	0	Ashton_Kutcher	Beyonce_Knowles
0	27.5747999034356	0	1	2.42514877882786	0	2	0	1	20	11	NaN	NaN	NaN	NaN	0.7662714	NaN	0.2630121	NaN	0	Adam_Sandler	Beyonce_Knowles
1.29615076933987	8.63153795292601	0.130559166952209	0.869440833047791	20.072275640443	2	5	0	1	20	12	NaN	NaN	NaN	NaN	0.7477394	NaN	0.1785851	NaN	0	Tom_Hanks	Russell_Crowe
0	21.2441898323596	0	1	8.75588457845151	0	3	0	1	20	13	NaN	NaN	NaN	NaN	0.7516084	NaN	0.2630121	NaN	0	Shih_Labeouf	Beyonce_Knowles
5.76697149430402	8.46266519348137	0.405278899302773	0.594721100697227	15.7702501281165	4	5	1	1	20	14	NaN	NaN	NaN	NaN	0.7477394	NaN	0.216896	NaN	0	Tom_Hanks	Drew_Barrymore
