Stim1Time	Stim2Time	Stim1Fraction	Stim2Fraction	Fusion	Stim1Quantity	Stim2Quantity	InitialStim1	SubjectInd	SubjectCode	Trial	Delta_Val	Delta_Aro	IsHighVal	IsHighAro	Val1_Ranking	Aro1_Ranking	Val2_Ranking	Aro2_Ranking	IsCorrupted	Stim1Name	Stim2Name
13.54270386	6.615499772	0.671820967	0.328179033	9.841681475	4	3	0	2	39	23	NaN	NaN	NaN	NaN	0.8120782	4	0.1167976	6	0	livnee_zipi	zuabi_hanin
17.84576776	0.77582452	0.958337369	0.041662631	11.37829311	3	1	1	2	39	24	NaN	NaN	NaN	NaN	0.9496484	8	0.1672436	5	0	rivlin_rubi	deri_arye
0	27.85220523	0	1	2.147704105	0	2	0	2	39	25	NaN	NaN	NaN	NaN	0.9496484	8	0.1127989	3	0	rivlin_rubi	tibi_ahmed
7.003930337	5.439773839	0.562849312	0.437150688	17.55629012	6	6	0	2	39	26	NaN	NaN	NaN	NaN	0.8042687	8	0.1127989	3	0	herzog_yitzhak	tibi_ahmed
0	24.51876489	0	1	5.481245369	0	3	0	2	39	27	NaN	NaN	NaN	NaN	0.9825764	8	0.1127989	3	0	yitzhak_rabin	tibi_ahmed
8.759971741	5.855075298	0.599380332	0.400619668	15.38495125	3	4	0	2	39	28	NaN	NaN	NaN	NaN	0.8042687	8	0.1127989	3	0	herzog_yitzhak	tibi_ahmed
0	25.40448776	0	1	4.595497988	0	2	0	2	39	29	NaN	NaN	NaN	NaN	0.8042687	8	0.1055672	7	0	herzog_yitzhak	netanyahu
9.847435288	1.511949383	0.866898655	0.133101345	18.64061333	4	1	1	2	39	30	NaN	NaN	NaN	NaN	0.9825764	8	0.1672436	5	0	yitzhak_rabin	deri_arye
0	22.90318444	0	1	7.09682953	0	1	0	2	39	31	NaN	NaN	NaN	NaN	0.9496484	8	0.1127989	3	0	rivlin_rubi	tibi_ahmed
3.495930393	15.47529028	0.184275459	0.815724541	11.02870463	2	3	0	2	39	32	NaN	NaN	NaN	NaN	0.8042687	8	0.1167976	6	0	herzog_yitzhak	zuabi_hanin
12.26361627	3.027857042	0.801990496	0.198009504	14.7084098	4	4	0	2	39	33	NaN	NaN	NaN	NaN	0.8120782	4	0.1167976	6	0	livnee_zipi	zuabi_hanin
5.20784431	7.773408329	0.401181955	0.598818045	17.01869091	3	5	0	2	39	34	NaN	NaN	NaN	NaN	0.8042687	8	0.1055672	7	0	herzog_yitzhak	netanyahu
0	12.78845999	0	1	17.2115001	0	2	0	2	39	35	NaN	NaN	NaN	NaN	0.9825764	8	0.1127989	3	0	yitzhak_rabin	tibi_ahmed
7.946056363	9.647798615	0.451638164	0.548361836	12.40609456	3	1	1	2	39	36	NaN	NaN	NaN	NaN	0.9496484	8	0.1127989	3	0	rivlin_rubi	tibi_ahmed
0	24.04241007	0	1	5.957532914	0	2	0	2	39	37	NaN	NaN	NaN	NaN	0.9825764	8	0.1055672	7	0	yitzhak_rabin	netanyahu
4.911958278	15.20098518	0.244218768	0.755781232	9.886965313	3	4	1	2	39	38	NaN	NaN	NaN	NaN	0.8042687	8	0.1167976	6	0	herzog_yitzhak	zuabi_hanin
0.21601574	23.61547069	0.0090643	0.9909357	6.168433171	1	3	1	2	39	39	NaN	NaN	NaN	NaN	0.9825764	8	0.1055672	7	0	yitzhak_rabin	netanyahu
0.128077792	18.42929997	0.006901718	0.993098282	11.44257035	1	4	0	2	39	40	NaN	NaN	NaN	NaN	0.9825764	8	0.1127989	3	0	yitzhak_rabin	tibi_ahmed
5.223185626	8.143596723	0.390758635	0.609241365	16.63306912	4	4	0	2	39	41	NaN	NaN	NaN	NaN	0.9496484	8	0.1672436	5	0	rivlin_rubi	deri_arye
3.160389179	15.3831999	0.170430285	0.829569715	11.45636245	2	5	0	2	39	42	NaN	NaN	NaN	NaN	0.8120782	4	0.1167976	6	0	livnee_zipi	zuabi_hanin
17.4925004	5.359491867	0.765469382	0.234530618	7.147942161	6	5	0	2	39	43	NaN	NaN	NaN	NaN	0.8120782	4	0.1672436	5	0	livnee_zipi	deri_arye
4.295912546	18.06985714	0.192075328	0.807924672	7.634067808	2	5	0	2	39	44	NaN	NaN	NaN	NaN	0.8120782	4	0.1055672	7	0	livnee_zipi	netanyahu
2.056191621	22.69129005	0.083086903	0.916913097	5.252454465	1	3	0	2	39	45	NaN	NaN	NaN	NaN	0.9496484	8	0.1055672	7	0	rivlin_rubi	netanyahu
15.23073726	1.863524982	0.890985352	0.109014648	12.90566877	4	2	1	2	39	46	NaN	NaN	NaN	NaN	0.9496484	8	0.1672436	5	0	rivlin_rubi	deri_arye
NaN	NaN	NaN	NaN	NaN	4	5	NaN	2	39	47	NaN	NaN	NaN	NaN	0.8042687	8	0.1672436	5	1	herzog_yitzhak	deri_arye
NaN	NaN	NaN	NaN	NaN	5	3	NaN	2	39	48	NaN	NaN	NaN	NaN	0.8120782	4	0.1127989	3	1	livnee_zipi	tibi_ahmed
NaN	NaN	NaN	NaN	NaN	5	5	NaN	2	39	49	NaN	NaN	NaN	NaN	0.9825764	8	0.1055672	7	1	yitzhak_rabin	netanyahu
NaN	NaN	NaN	NaN	NaN	3	2	NaN	2	39	50	NaN	NaN	NaN	NaN	0.8042687	8	0.1672436	5	1	herzog_yitzhak	deri_arye
12.30318706	11.39943984	0.519064284	0.480935716	6.297294123	5	6	1	2	39	51	NaN	NaN	NaN	NaN	0.8042687	8	0.1127989	3	0	herzog_yitzhak	tibi_ahmed
6.759414948	8.866134753	0.432587338	0.567412662	14.37441723	3	5	0	2	39	52	NaN	NaN	NaN	NaN	0.8120782	4	0.1167976	6	0	livnee_zipi	zuabi_hanin
NaN	NaN	NaN	NaN	NaN	4	5	NaN	2	39	53	NaN	NaN	NaN	NaN	0.8120782	4	0.1055672	7	1	livnee_zipi	netanyahu
5.495799249	19.65625229	0.218503021	0.781496979	4.847819598	3	4	0	2	39	54	NaN	NaN	NaN	NaN	0.9825764	8	0.1167976	6	0	yitzhak_rabin	zuabi_hanin
0.464344576	20.59308037	0.022051347	0.977948653	8.942462439	1	3	0	2	39	55	NaN	NaN	NaN	NaN	0.9496484	8	0.1055672	7	0	rivlin_rubi	netanyahu
0	29.37291819	0	1	0.627030206	0	1	0	2	39	56	NaN	NaN	NaN	NaN	0.9496484	8	0.1127989	3	0	rivlin_rubi	tibi_ahmed
12.56046308	9.328474532	0.573826985	0.426173015	8.110931532	6	4	1	2	39	57	NaN	NaN	NaN	NaN	0.9825764	8	0.1167976	6	0	yitzhak_rabin	zuabi_hanin
7.960035204	14.24094655	0.358544288	0.641455712	7.798955806	4	5	1	2	39	58	NaN	NaN	NaN	NaN	0.9496484	8	0.1167976	6	0	rivlin_rubi	zuabi_hanin
4.695742971	18.99063202	0.198246586	0.801753414	6.31355801	3	6	0	2	39	59	NaN	NaN	NaN	NaN	0.8120782	4	0.1672436	5	0	livnee_zipi	deri_arye
0.19203287	27.1467362	0.007024196	0.992975804	2.661204697	1	3	0	2	39	60	NaN	NaN	NaN	NaN	0.9496484	8	0.1055672	7	0	rivlin_rubi	netanyahu
NaN	NaN	NaN	NaN	NaN	4	5	NaN	2	39	61	NaN	NaN	NaN	NaN	0.8120782	4	0.1055672	7	1	livnee_zipi	netanyahu
0.37590429	25.81194679	0.014354148	0.985645852	3.81202462	1	3	0	2	39	62	NaN	NaN	NaN	NaN	0.8042687	8	0.1167976	6	0	herzog_yitzhak	zuabi_hanin
16.98758634	8.415212509	0.668728924	0.331271076	4.597172358	5	5	0	2	39	63	NaN	NaN	NaN	NaN	0.8120782	4	0.1055672	7	0	livnee_zipi	netanyahu
16.82484397	2.224576896	0.88322076	0.11677924	10.95056944	4	2	0	2	39	64	NaN	NaN	NaN	NaN	0.9496484	8	0.1672436	5	0	rivlin_rubi	deri_arye
3.111681622	21.47262727	0.126571857	0.873428143	5.416144131	1	3	0	3	44	1	NaN	NaN	NaN	NaN	0.9092084	8	0.1467421	8	0	yitzhak_rabin	benet_naftali
29.05532022	0	1	0	0.944570299	1	0	1	3	44	2	NaN	NaN	NaN	NaN	0.8675615	8	0.1103977	9	0	galon_zahava	Smotrich_Bezalel
3.087833257	13.29435183	0.188487265	0.811512735	13.617842	2	5	0	3	44	3	NaN	NaN	NaN	NaN	0.9160813	5	0.1467421	8	0	yacimovich_shelly	benet_naftali
0	24.74706849	0	1	5.252953462	0	2	0	3	44	4	NaN	NaN	NaN	NaN	0.9092084	8	0.05081844	8	0	yitzhak_rabin	hazan_oren
6.963828602	16.74320143	0.293745298	0.706254702	6.292940884	3	3	0	3	44	5	NaN	NaN	NaN	NaN	0.8675615	8	0.1740431	8	0	galon_zahava	regev_miri
1.367925959	18.71573861	0.068111373	0.931888627	9.916318611	2	4	0	3	44	6	NaN	NaN	NaN	NaN	0.9160813	5	0.1740431	8	0	yacimovich_shelly	regev_miri
26.05956275	2.512032804	0.912079366	0.087920634	1.428375934	2	1	1	3	44	7	NaN	NaN	NaN	NaN	0.8342794	5	0.1740431	8	0	michaeli_meirav	regev_miri
5.367910564	18.45743673	0.225302511	0.774697489	6.174684925	2	3	0	3	44	8	NaN	NaN	NaN	NaN	0.9092084	8	0.1467421	8	0	yitzhak_rabin	benet_naftali
24.67129256	3.216996172	0.884647057	0.115352943	2.111699868	2	2	1	3	44	9	NaN	NaN	NaN	NaN	0.8675615	8	0.1103977	9	0	galon_zahava	Smotrich_Bezalel
26.12538966	1.663911394	0.940124029	0.059875971	2.210710639	2	1	1	3	44	10	NaN	NaN	NaN	NaN	0.9160813	5	0.1740431	8	0	yacimovich_shelly	regev_miri
6.12797292	15.22493384	0.28698542	0.71301458	8.646962377	3	7	0	3	44	11	NaN	NaN	NaN	NaN	0.8342794	5	0.05081844	8	0	michaeli_meirav	hazan_oren
20.99436563	5.160096796	0.80270683	0.19729317	3.845545274	3	2	1	3	44	12	NaN	NaN	NaN	NaN	0.9160813	5	0.1467421	8	0	yacimovich_shelly	benet_naftali
18.5379906	3.815178451	0.829322704	0.170677296	7.646899371	4	2	1	3	44	13	NaN	NaN	NaN	NaN	0.8342794	5	0.05081844	8	0	michaeli_meirav	hazan_oren
2.463786123	16.67321268	0.128744645	0.871255355	10.86306933	2	6	0	3	44	14	NaN	NaN	NaN	NaN	0.9160813	5	0.1740431	8	0	yacimovich_shelly	regev_miri
25.83314469	1.751793688	0.936494559	0.063505441	2.415027406	2	1	1	3	44	15	NaN	NaN	NaN	NaN	0.8342794	5	0.1103977	9	0	michaeli_meirav	Smotrich_Bezalel
17.89163976	5.959006186	0.750153258	0.249846742	6.149327541	5	3	1	3	44	16	NaN	NaN	NaN	NaN	0.8342794	5	0.1740431	8	0	michaeli_meirav	regev_miri
