subjectID	runtrial	onsettime	Name	Bid	RT
sUB_04_05_09_17	1	1.677331e-02	girl.jpg	6.406250e-01	1.516799e+00
sUB_04_05_09_17	2	1.900001e+00	crime_2.jpg	5.859375e+00	1.616705e+00
sUB_04_05_09_17	3	3.900055e+00	couple_on_bicycle.jpg	3.906250e+00	2.216701e+00
sUB_04_05_09_17	4	6.516809e+00	wind_surfer.jpg	6.484375e+00	1.650022e+00
sUB_04_05_09_17	5	8.516829e+00	man_in_jail.jpg	1.984375e+00	9.833099e-01
sUB_04_05_09_17	6	9.866872e+00	car_accident.jpg	6.375000e+00	1.083313e+00
sUB_04_05_09_17	7	1.130020e+01	cemetery.jpg	3.750000e-01	1.083336e+00
sUB_04_05_09_17	8	1.275022e+01	elderly_couple.jpg	1.859375e+00	1.550022e+00
sUB_04_05_09_17	9	1.466700e+01	waves_surfer.jpg	6.968750e+00	1.599967e+00
sUB_04_05_09_17	10	1.665031e+01	woman.jpg	2.093750e+00	1.266641e+00
sUB_04_05_09_17	11	1.830035e+01	couple_2.jpg	7.625000e+00	1.166689e+00
sUB_04_05_09_17	12	1.981714e+01	old_man.jpg	1.015625e+00	1.883229e+00
sUB_04_05_09_17	13	2.210041e+01	couple_1.jpg	8.234375e+00	1.333327e+00
sUB_04_05_09_17	14	2.378378e+01	family.jpg	5.281250e+00	1.400017e+00
sUB_04_05_09_17	15	2.555047e+01	crime_1.jpg	8.843750e+00	1.600029e+00
sUB_04_05_09_17	16	2.751719e+01	crime_3.jpg	8.921875e+00	1.166667e+00
