face1Time	face2Time	face1Fraction	face2Fraction	Fusion	Quantity_face1	Quantity_face2	Initial_face	Subject	Trial	Delta_ARO
0.172811268	25.71961222	0.006674202	0.993325798	4.107901521	1	4	0	1	1	6
0.536344452	26.40461937	0.019908139	0.980091861	3.059043876	1	3	0	1	2	1
0	27.41228335	0	1	2.587705819	0	2	0	1	3	6
0	28.65964007	0	1	1.340285804	0	1	0	1	4	2
0	28.90845735	0	1	1.091520987	0	1	0	1	5	3
4.376077168	16.46822024	0.209941217	0.790058783	9.155541231	4	6	0	1	6	5
26.84177772	1.416001868	0.94988984	0.05011016	1.742187914	2	1	1	1	7	2
1.88820776	17.60033875	0.096888075	0.903111925	10.51141585	1	2	0	1	8	6
28.46580261	0	1	0	1.534181706	1	0	0	1	9	1
27.65278149	1.207924956	0.958146383	0.041853617	1.139265613	2	1	1	1	10	5
0	28.56989381	0	1	1.430121582	0	1	0	1	11	-1
16.52020625	5.679991151	0.744146818	0.255853182	7.799719636	7	7	1	1	12	6
2.215622005	0.543694538	0.802960433	0.197039567	27.24064098	2	1	1	1	13	-1
2.879783429	3.207413491	0.473088593	0.526911407	23.91270158	2	5	1	1	14	5
1.535202638	23.2661258	0.061900016	0.938099984	5.198630508	2	2	0	1	15	0
22.32769706	3.509907406	0.864155076	0.135844924	4.16228292	4	2	1	1	16	2
3.46410087	8.103304617	0.29947086	0.70052914	18.43252495	3	4	1	1	17	2
0.439917231	20.47118667	0.021037494	0.978962506	9.088751554	1	4	0	1	18	3
28.06384263	0.48795123	0.982909962	0.017090038	1.448151688	1	1	0	1	19	1
4.159175077	10.37656183	0.286134449	0.713865551	15.46416188	4	5	0	1	20	3
28.74990207	0	1	0	1.250091659	1	0	0	1	21	3
0	21.76330334	0	1	8.236613697	0	4	0	1	22	6
0.751834172	22.83925717	0.03186941	0.96813059	6.408795756	1	4	0	1	23	4
19.72799864	0	1	0	10.27186851	5	0	0	1	24	5
2.31939247	0	1	0	27.68047496	5	0	0	1	25	3
17.7549155	2.639720343	0.87056791	0.12943209	9.605340779	6	3	1	1	26	0
29.12366339	0	1	0	0.876314369	1	0	0	1	27	3
0	21.10357603	0	1	8.896393466	0	3	0	1	28	0
2.199528279	0.831940444	0.725565223	0.274434777	26.96849821	3	1	1	1	29	-1
28.5604055	0	1	0	1.439683166	1	0	0	1	30	5
2.151929337	15.98053814	0.118678241	0.881321759	11.86752426	1	4	0	1	31	3
0.480069153	17.07867366	0.027340747	0.972659253	12.44117907	1	4	0	1	32	3
1.727170715	1.647677115	0.511777361	0.488222639	26.62504897	3	3	0	1	33	4
5.23190532	0	1	0	24.76807757	1	0	0	1	34	-1
2.479554838	13.9192591	0.151203303	0.848796697	13.60101073	4	3	1	1	35	3
4.538623232	13.98425523	0.245027966	0.754972034	11.47705169	4	3	0	1	36	3
11.60055913	2.391509754	0.829081048	0.170918952	16.00779683	3	2	0	1	37	2
0.128118035	15.26300883	0.008324149	0.991675851	14.60880841	1	3	1	1	38	3
1.447638513	0	1	0	28.5523287	2	0	0	1	39	2
4.487700915	0	1	0	25.51228283	2	0	0	1	40	3
24.84637633	0	1	0	5.153536999	3	0	0	1	41	5
2.479293689	1.167452584	0.679864598	0.320135402	26.35308409	3	2	1	1	42	4
28.95264624	0	1	0	1.04732924	1	0	0	1	43	3
0	0	0	0	29.9999846	0	0	0	1	44	0
4.631672624	0	1	0	25.36826551	2	0	0	1	45	2
0	5.024806576	0	1	24.97520939	0	2	0	1	46	5
24.09722435	0	1	0	5.90274058	2	0	0	1	47	2
0	14.15160347	0	1	15.84836745	0	2	0	1	48	1
0	0	0	0	29.99998746	0	0	0	1	49	2
0	0	0	0	29.99996009	0	0	0	1	50	2
15.49179605	1.592336649	0.906794411	0.093205589	12.91584449	4	1	1	1	51	0
0.455878102	0	1	0	29.54398277	1	0	0	1	52	4
6.407422159	0	1	0	23.59256444	2	0	0	1	53	0
0	27.7703173	0	1	2.229635948	0	1	0	1	54	6
6.551185462	0	1	0	23.44872302	3	0	0	1	55	2
0	0	0	0	29.99999316	0	0	0	1	56	3
0.68782191	0.815480939	0.457540482	0.542459518	28.49666836	1	1	0	1	57	6
3.842898433	0	1	0	26.15690742	3	0	0	1	58	6
28.38445731	0	1	0	1.615492514	1	0	0	1	59	3
0.591917842	19.04890383	0.030137122	0.969862878	10.35916806	1	4	0	1	60	2
0	11.26340997	0	1	18.73647571	0	4	0	1	61	0
0	2.190843653	0	1	27.80907538	0	3	0	1	62	3
0	0	0	0	29.99992616	0	0	0	1	63	0
0	0	0	0	29.99996636	0	0	0	1	64	5
0	7.057407842	0	1	22.94293342	0	1	0	2	1	2
13.75147929	4.503968968	0.753280834	0.246719166	11.74446707	5	3	1	2	2	1
23.89536168	2.119763245	0.918518045	0.081481955	3.984886476	3	2	1	2	3	2
29.26265578	0	1	0	0.737281784	1	0	0	2	4	1
21.86075242	0.284839407	0.987137873	0.012862127	7.854233409	3	1	1	2	5	-1
22.19715463	3.543414034	0.862341268	0.137658732	4.25938145	3	1	1	2	6	3
15.85594228	0	1	0	14.14394312	3	0	0	2	7	3
0	16.24696579	0	1	13.75298432	0	2	0	2	8	2
12.80373031	0	1	0	17.19616335	4	0	0	2	9	1
11.31971523	3.375608075	0.770293718	0.229706282	15.30467498	4	3	1	2	10	3
0	25.77662108	0	1	4.223287976	0	2	0	2	11	1
5.612039844	4.319677316	0.565062391	0.434937609	20.0681517	5	3	0	2	12	2
10.71069057	5.535497195	0.659274085	0.340725915	13.75366427	3	2	1	2	13	1
0.823908003	12.77126498	0.06060298	0.93939702	16.40476858	1	4	0	2	14	3
5.847565292	10.13290305	0.365919519	0.634080481	14.01946865	2	3	0	2	15	5
7.526956566	1.991861642	0.790744859	0.209255141	20.48119804	3	1	1	2	16	3
4.095675745	11.59727414	0.260988264	0.739011736	14.30706751	2	4	0	2	17	1
1.9999866	23.44049656	0.078614332	0.921385668	4.55954079	1	3	0	2	18	2
3.920308748	16.1001797	0.19581484	0.80418516	9.979389535	2	6	0	2	19	1
3.359926354	15.45433513	0.178584015	0.821415985	11.1857368	2	3	0	2	20	5
14.6870042	3.088235017	0.826261972	0.173738028	12.22455352	5	2	1	2	21	-1
0	24.71521448	0	1	5.284710828	0	2	0	2	22	2
13.54270386	6.615499772	0.671820967	0.328179033	9.841681475	4	3	0	2	23	-2
17.84576776	0.77582452	0.958337369	0.041662631	11.37829311	3	1	1	2	24	3
0	27.85220523	0	1	2.147704105	0	2	0	2	25	5
7.003930337	5.439773839	0.562849312	0.437150688	17.55629012	6	6	0	2	26	5
0	24.51876489	0	1	5.481245369	0	3	0	2	27	5
8.759971741	5.855075298	0.599380332	0.400619668	15.38495125	3	4	0	2	28	5
0	25.40448776	0	1	4.595497988	0	2	0	2	29	1
9.847435288	1.511949383	0.866898655	0.133101345	18.64061333	4	1	1	2	30	3
0	22.90318444	0	1	7.09682953	0	1	0	2	31	5
3.495930393	15.47529028	0.184275459	0.815724541	11.02870463	2	3	0	2	32	2
12.26361627	3.027857042	0.801990496	0.198009504	14.7084098	4	4	0	2	33	-2
5.20784431	7.773408329	0.401181955	0.598818045	17.01869091	3	5	0	2	34	1
0	12.78845999	0	1	17.2115001	0	2	0	2	35	5
7.946056363	9.647798615	0.451638164	0.548361836	12.40609456	3	1	1	2	36	5
0	24.04241007	0	1	5.957532914	0	2	0	2	37	1
4.911958278	15.20098518	0.244218768	0.755781232	9.886965313	3	4	1	2	38	2
0.21601574	23.61547069	0.0090643	0.9909357	6.168433171	1	3	1	2	39	1
0.128077792	18.42929997	0.006901718	0.993098282	11.44257035	1	4	0	2	40	5
5.223185626	8.143596723	0.390758635	0.609241365	16.63306912	4	4	0	2	41	3
3.160389179	15.3831999	0.170430285	0.829569715	11.45636245	2	5	0	2	42	-2
17.4925004	5.359491867	0.765469382	0.234530618	7.147942161	6	5	0	2	43	-1
4.295912546	18.06985714	0.192075328	0.807924672	7.634067808	2	5	0	2	44	-3
2.056191621	22.69129005	0.083086903	0.916913097	5.252454465	1	3	0	2	45	1
15.23073726	1.863524982	0.890985352	0.109014648	12.90566877	4	2	1	2	46	3
11.37527366	12.92255189	0.46816015	0.53183985	5.702095201	4	5	1	2	47	3
14.97224531	3.352063969	0.817070105	0.182929895	11.6756012	5	3	1	2	48	1
14.16777745	11.65086311	0.548742193	0.451257807	4.181351168	5	5	1	2	49	1
21.27177943	3.556560963	0.856753979	0.143246021	5.171613705	3	2	1	2	50	3
12.30318706	11.39943984	0.519064284	0.480935716	6.297294123	5	6	1	2	51	5
6.759414948	8.866134753	0.432587338	0.567412662	14.37441723	3	5	0	2	52	-2
8.71950432	9.949153649	0.467066478	0.532933522	11.33134317	4	5	0	2	53	-3
5.495799249	19.65625229	0.218503021	0.781496979	4.847819598	3	4	0	2	54	2
0.464344576	20.59308037	0.022051347	0.977948653	8.942462439	1	3	0	2	55	1
0	29.37291819	0	1	0.627030206	0	1	0	2	56	5
12.56046308	9.328474532	0.573826985	0.426173015	8.110931532	6	4	1	2	57	2
7.960035204	14.24094655	0.358544288	0.641455712	7.798955806	4	5	1	2	58	2
4.695742971	18.99063202	0.198246586	0.801753414	6.31355801	3	6	0	2	59	-1
0.19203287	27.1467362	0.007024196	0.992975804	2.661204697	1	3	0	2	60	1
3.831989057	10.04572289	0.276125421	0.723874579	16.122247	4	5	0	2	61	-3
0.37590429	25.81194679	0.014354148	0.985645852	3.81202462	1	3	0	2	62	2
16.98758634	8.415212509	0.668728924	0.331271076	4.597172358	5	5	0	2	63	-3
16.82484397	2.224576896	0.88322076	0.11677924	10.95056944	4	2	0	2	64	3
3.111681622	21.47262727	0.126571857	0.873428143	5.416144131	1	3	0	3	1	0
29.05532022	0	1	0	0.944570299	1	0	0	3	2	-1
3.087833257	13.29435183	0.188487265	0.811512735	13.617842	2	5	0	3	3	-3
0	24.74706849	0	1	5.252953462	0	2	0	3	4	0
6.963828602	16.74320143	0.293745298	0.706254702	6.292940884	3	3	0	3	5	0
1.367925959	18.71573861	0.068111373	0.931888627	9.916318611	2	4	0	3	6	-3
26.05956275	2.512032804	0.912079366	0.087920634	1.428375934	2	1	1	3	7	-3
5.367910564	18.45743673	0.225302511	0.774697489	6.174684925	2	3	0	3	8	0
24.67129256	3.216996172	0.884647057	0.115352943	2.111699868	2	2	1	3	9	-1
26.12538966	1.663911394	0.940124029	0.059875971	2.210710639	2	1	1	3	10	-3
6.12797292	15.22493384	0.28698542	0.71301458	8.646962377	3	7	0	3	11	-3
20.99436563	5.160096796	0.80270683	0.19729317	3.845545274	3	2	1	3	12	-3
18.5379906	3.815178451	0.829322704	0.170677296	7.646899371	4	2	1	3	13	-3
2.463786123	16.67321268	0.128744645	0.871255355	10.86306933	2	6	0	3	14	-3
25.83314469	1.751793688	0.936494559	0.063505441	2.415027406	2	1	1	3	15	-4
17.89163976	5.959006186	0.750153258	0.249846742	6.149327541	5	3	1	3	16	-3
19.35942408	6.711441627	0.742569284	0.257430716	3.929044201	5	3	1	3	17	-3
1.759898996	19.33046022	0.083445662	0.916554338	8.909438364	1	5	0	3	18	-3
23.33206218	3.439541473	0.87152277	0.12847723	3.228193357	3	2	1	3	19	-1
26.05576298	2.381860931	0.916242618	0.083757382	1.562256919	2	2	1	3	20	-4
4.543924896	14.92725835	0.233366655	0.766633345	10.52881019	2	5	0	3	21	0
6.02393532	21.60383062	0.218039176	0.781960824	2.372152237	2	3	0	3	22	0
6.223821395	17.62336091	0.260987706	0.739012294	6.15273103	3	5	0	3	23	0
17.28487777	3.879371179	0.816701685	0.183298315	8.835708001	5	4	1	3	24	0
