face1Time	face2Time	face1Fraction	face2Fraction	Fusion	Quantity_face1	Quantity_face2	Initial_face	Subject	Trial	IsCorrupted
0	23.25444654	0	1	6.745434003	0	3	0	1	1	0
0	27.5747999	0	1	2.425148779	0	2	0	1	2	0
1.296150769	8.631537953	0.130559167	0.869440833	20.07227564	2	5	0	1	3	0
0	21.24418983	0	1	8.755884578	0	3	0	1	4	0
5.766971494	8.462665193	0.405278899	0.594721101	15.77025013	4	5	1	1	5	0
10.95051115	3.09107647	0.779862751	0.220137249	15.95838786	3	2	1	1	6	0
0.415779867	19.1275919	0.021274725	0.978725275	10.45662196	1	3	0	1	7	0
0	27.64435855	0	1	2.355658837	0	1	0	1	8	0
0	29.02203185	0	1	0.97798896	0	1	0	1	9	0
24.98345116	3.458129844	0.878412883	0.121587117	1.558320347	1	1	1	1	10	1
14.84792725	5.020502013	0.747312586	0.252687414	10.13187294	3	4	0	1	11	0
22.06325255	0	1	0	7.936579523	1	0	1	1	12	0
0	24.84985195	0	1	5.150089892	0	2	0	1	13	0
0	28.3804399	0	1	1.619553262	0	1	0	1	14	0
28.45516282	0	1	0	1.5448004	1	0	1	1	15	0
0	26.89357182	0	1	3.106350059	0	2	0	1	16	0
28.55367153	0	1	0	1.446277724	1	0	1	1	17	0
0	28.40889588	0	1	1.59112237	0	2	0	1	18	0
0	28.54552227	0	1	1.454485998	0	1	0	1	19	0
9.871883801	0.351310228	0.965635962	0.034364038	19.77678887	1	1	1	1	20	0
0	12.32383499	0	1	17.67613422	0	3	0	1	21	0
0	28.40500456	0	1	1.59500741	0	2	0	1	22	0
7.023876155	4.322517261	0.619040421	0.380959579	18.65353018	1	2	0	1	23	0
0	27.34993263	0	1	2.650072786	0	2	0	1	24	0
0.623872506	26.94322375	0.022631056	0.977368944	2.432832757	1	1	1	1	25	0
0	27.1840306	0	1	2.816163553	0	1	0	1	26	0
25.7892357	0	1	0	4.210816471	1	0	1	1	27	0
0	28.48980316	0	1	1.510187144	0	1	0	1	28	0
0	29.40962573	0	1	0.590318107	0	1	0	1	29	0
26.18463016	0	1	0	3.815337337	2	0	1	1	30	0
28.72696389	0.409044982	0.985960844	0.014039156	0.864011087	1	1	1	1	31	0
0	16.79019819	0	1	13.20972283	0	2	0	1	32	0
0	29.05850424	0	1	0.941477233	0	1	0	1	33	0
0	29.21991996	0	1	0.780105988	0	1	0	1	34	0
0	27.03818383	0	1	2.961787374	0	2	0	1	35	0
2.935976255	0.453227573	0.866273144	0.133726856	26.61070665	1	1	1	1	36	0
0	28.58696335	0	1	1.413045486	0	1	0	1	37	0
0	27.53716717	0	1	2.46282827	0	1	0	1	38	0
2.511459825	19.78453927	0.112641726	0.887358274	7.704003469	1	2	1	1	39	1
0	10.80013474	0	1	19.19985642	0	1	0	1	40	0
18.73506896	2.279681476	0.891519936	0.108480064	8.985170309	1	2	0	1	41	0
11.28174274	0	1	0	18.71824301	3	0	1	1	42	0
25.5670284	0.968126258	0.963515334	0.036484666	3.46479431	2	1	1	1	43	0
0.261596814	28.8635478	0.00898182	0.99101818	0.874655244	1	1	0	1	44	0
20.2719553	8.098763584	0.71453795	0.28546205	1.629122597	1	2	0	1	45	1
0.343794173	24.27201318	0.013966398	0.986033602	5.384186092	1	4	0	1	46	0
17.35183167	1.359391348	0.927348878	0.072651122	11.2886829	2	1	1	1	47	0
1.205233385	22.3115116	0.051250009	0.948749991	6.483216528	1	1	0	1	48	0
12.52698744	2.14436226	0.853840151	0.146159849	15.32855879	4	1	1	1	49	0
0	28.60241513	0	1	1.397554082	0	1	0	1	50	0
0	11.06360151	0	1	18.93638338	0	3	0	1	51	0
1.135985492	9.820860268	0.103678149	0.896321851	19.04305816	1	4	0	1	52	0
0	25.49116622	0	1	4.508786455	0	1	0	1	53	0
0	23.90938596	0	1	6.090554169	0	3	0	1	54	0
7.186245245	16.91932193	0.298115584	0.701884416	5.894319353	7	6	0	1	55	0
0.184414627	18.60416478	0.009815251	0.990184749	11.21141546	1	3	0	1	56	0
0	0	0	0	30.00001055	0	0	0	1	57	0
0	27.52859169	0	1	2.471464192	0	2	0	1	58	0
28.57556881	0.512117547	0.982394009	0.017605991	0.912305085	1	1	0	1	59	0
28.32452778	0	1	0	1.675507005	2	1	1	1	60	1
9.195486718	3.64002477	0.716409839	0.283590161	17.16435594	4	2	1	1	61	0
17.65934448	2.967540095	0.856132414	0.143867586	9.373036455	4	2	1	1	62	0
2.871305335	3.726558477	0.435187118	0.564812882	23.40197568	3	3	0	1	63	0
24.93941511	1.279934644	0.951183586	0.048816414	3.780708401	2	2	0	1	64	0
11.42276614	0	1	0	18.57717598	6	0	1	2	1	0
3.615915643	20.78209289	0.14820536	0.85179464	5.601856329	5	7	0	2	2	0
6.399702015	16.93865094	0.274213953	0.725786047	6.66161996	7	7	0	2	3	1
