face1Time	face2Time	face1Fraction	face2Fraction	Fusion	Quantity_face1	Quantity_face2	Initial_face	Subject	Trial	IsCorrupted
0.455379467	25.71961222	0.017397502	0.982602498	3.825333321	1	4	0	1	1	1
0.536344452	26.40461937	0.019908139	0.980091861	3.059043876	1	3	0	1	2	0
0	27.41228335	0	1	2.587705819	0	2	0	1	3	0
0	28.65964007	0	1	1.340285804	0	1	0	1	4	0
0	28.90845735	0	1	1.091520987	0	1	0	1	5	0
4.376077168	16.46822024	0.209941217	0.790058783	9.155541231	4	6	0	1	6	0
26.84177772	1.416001868	0.94988984	0.05011016	1.742187914	2	1	1	1	7	0
1.88820776	17.60033875	0.096888075	0.903111925	10.51141585	1	2	0	1	8	0
28.46580261	0	1	0	1.534181706	1	0	1	1	9	0
27.65278149	1.207924956	0.958146383	0.041853617	1.139265613	2	1	1	1	10	0
0	28.56989381	0	1	1.430121582	0	1	0	1	11	0
16.52020625	5.679991151	0.744146818	0.255853182	7.799719636	7	7	1	1	12	0
2.215622005	0.543694538	0.802960433	0.197039567	27.24064098	2	1	1	1	13	0
2.879783429	3.207413491	0.473088593	0.526911407	23.91270158	2	5	1	1	14	0
1.367529104	26.30617509	0.049416193	0.950583807	2.326254755	2	2	0	1	15	1
22.32769706	3.509907406	0.864155076	0.135844924	4.16228292	4	2	1	1	16	0
3.46410087	8.103304617	0.29947086	0.70052914	18.43252495	3	4	1	1	17	0
0.439917231	20.47118667	0.021037494	0.978962506	9.088751554	1	4	0	1	18	0
28.06384263	0.48795123	0.982909962	0.017090038	1.448151688	1	1	0	1	19	0
5.031734148	10.37656183	0.326560066	0.673439934	14.59160281	4	5	0	1	20	1
28.74990207	0	1	0	1.250091659	1	0	1	1	21	0
0	21.76330334	0	1	8.236613697	0	4	0	1	22	0
0.751834172	22.83925717	0.03186941	0.96813059	6.408795756	1	4	0	1	23	0
19.72799864	0	1	0	10.27186851	5	0	1	1	24	0
2.31939247	0	1	0	27.68047496	5	0	1	1	25	0
17.7549155	2.639720343	0.87056791	0.12943209	9.605340779	6	3	1	1	26	0
